Block,Temperature,Treatment,Snail,MeanHR_mov,SDNN_mov,RMSSD_mov,pNN50_mov,NNi_mov,Normalized_RMSSD,CV
Cold,15,15C,1,56.19887333,139.6282313,174.9275471,41.81818182,1075.001985,0.162722999,12.9886487
Cold,15,15C,2,41.94039984,156.7476119,171.7287192,63.41463415,1437.30644,0.119479545,10.90565015
Cold,15,15C,3,48.63973412,98.51702077,72.52911813,45.83333333,1236.06085,0.058677627,7.970240362
Cold,15,15C,4,67.9617204,103.3197165,55.2702714,37.31343284,883.3338783,0.06257008,11.69656446
Cold,15,15C,6,55.89496535,62.02407665,63.28070915,40,1073.215278,0.058963668,5.779276341
Cold,15,15C,9,57.08657209,118.8996139,91.66346228,35.71428571,1053.80182,0.086983587,11.28291977
Cold,15,15C,10,56.35502083,64.67780267,45.41913179,27.27272727,1065.472882,0.042628144,6.070337759
Cold,15,15C,11,65.59455825,117.1876457,79.89467319,43.07692308,916.6708778,0.087157425,12.78404807
Cold,15,15C,12,38.93278808,119.3873927,119.6417394,57.89473684,1541.882242,0.077594602,7.742964375
Cold,15,15C,14,47.79191185,70.33059655,72.60548286,32.60869565,1256.016936,0.057806134,5.599494285
Cold,15,15C,15,43.56522528,112.0283517,89.8386374,46.51162791,1377.280307,0.065229015,8.134026976
Cold,15,15C,16,62.96144144,106.4220849,78.78840192,29.03225806,953.4397417,0.082635953,11.1619099
Cold,15,15C,17,32.9272522,107.6915896,130.9087143,59.375,1822.224468,0.07184006,5.909897024
Cold,15,15C,18,47.19696062,118.7645144,86.61653159,42.55319149,1272.234575,0.068082202,9.335111365
Cold,15,15C,19,37.49961644,125.0385979,130.9529626,50,1600.889383,0.081800132,7.810570751
Cold,15,15C,20,61.71037431,180.1211863,207.0089396,47.54098361,977.4247342,0.211790159,18.42813876
Cold,15,15C,21,61.70694252,85.8724422,56.97248604,32.78688525,972.5833348,0.058578514,8.829314582
Cold,15,15C,22,81.16587819,86.12211093,76.0539472,45,740.7407407,0.102672829,11.62648498
Cold,15,15C,23,75.1836426,72.83124761,58.41402817,28.37837838,799.110617,0.073098801,9.11403829
Cold,15,15C,24,40.60952912,211.4784157,207.211445,62.5,1483.751135,0.139653773,14.2529573
Cold,15,15C,25,69.31774068,122.7339441,76.31161236,44.11764706,868.5984967,0.087856026,14.13011242
Cold,15,15C,26,69.73312806,66.53260239,48.68040795,28.98550725,860.9544985,0.05654237,7.7277722
Cold,15,15C,27,49.07322876,155.7493508,54.67569642,22.91666667,1223.128495,0.044701515,12.73368673
Cold,15,15C,28,71.24829098,95.56054697,47.16665578,26.76056338,843.5241801,0.055916187,11.32872646
Cold,15,15C,29,53.52433018,84.80275427,71.80041204,46.15384615,1122.006985,0.063992839,7.558130689
Cold,1,1C,1,23.85002214,260.1922367,100.2969754,52.17391304,2520.844914,0.039787047,10.32162809
Cold,1,1C,2,24.96427681,457.0310182,123.2312895,65.2173913,2411.061701,0.051110799,18.95559197
Cold,1,1C,4,33.63654543,316.4051124,201.537859,66.66666667,1788.248373,0.112701268,17.69357754
Cold,1,1C,5,36.32590521,370.743497,372.799914,74.28571429,1652.770057,0.225560665,22.4316441
Cold,1,1C,6,37.71392135,213.7375658,61.54666111,35.13513514,1597.378661,0.038529788,13.38051966
Cold,1,1C,7,32.91812313,189.2074159,73.16535065,46.875,1821.213806,0.040173949,10.38908311
Cold,1,1C,8,46.01221746,175.4141488,70.40736672,52.17391304,1304.270694,0.053982173,13.44921339
Cold,1,1C,9,34.8064131,112.9817664,76.73913174,38.23529412,1726.673549,0.044443335,6.543319463
Cold,1,1C,10,62.90145844,183.4752137,77.29410255,45.16129032,955.5573202,0.080889028,19.200859
Cold,1,1C,11,42.51118135,124.3957682,63.86395382,28.57142857,1413.96383,0.045166611,8.797662681
Cold,1,1C,12,27.56066939,185.215317,286.1846889,81.48148148,2188.120384,0.130790194,8.464585329
Cold,1,1C,13,51.37395027,220.1242718,77.93210525,42,1171.892882,0.066501048,18.78365123
Cold,1,1C,14,25.86647955,496.1209764,248.5518555,80.76923077,2325.983571,0.106858818,21.32951335
Cold,1,1C,15,54.57835184,172.3500921,198.8486292,33.96226415,1104.317213,0.180064774,15.60693704
Cold,1,1C,16,36.98658105,159.264495,102.0431337,52.77777778,1620.72022,0.062961597,9.826772878
Cold,1,1C,17,33.5137792,556.034075,317.4670901,60.60606061,1829.447732,0.173531654,30.39354802
Cold,1,1C,18,31.92948308,405.6544694,190.4648407,61.29032258,1876.042246,0.101524814,21.62288564
Cold,1,1C,20,39.38425999,171.1484638,99.32149298,39.47368421,1523.068371,0.065211447,11.23708345
Cold,1,1C,21,40.59977914,217.8140116,46.57334089,32.5,1476.429995,0.031544564,14.75274902
Cold,1,1C,22,30.22954136,132.5078601,120.5597929,56.66666667,1987.125464,0.060670448,6.66831876
Cold,1,1C,23,37.59254773,187.7614866,194.6319222,58.33333333,1599.987981,0.121645865,11.73518107
Cold,1,1C,24,18.5767584,2246.045735,3189.027124,73.33333333,3676.601423,0.86738451,61.09026997
Cold,1,1C,27,28.66831157,204.8023554,356.0425912,37.03703704,2111.887557,0.168589748,9.697597522
Cold,1,1C,28,35.69669461,63.46876517,62.01243003,42.85714286,1681.489717,0.036879458,3.774555653
Cold,1,1C,29,23.5902564,169.5633931,103.8505021,52.17391304,2543.079489,0.040836514,6.667640309
Cold,8,8C,1,31.70974237,174.1758827,157.9180027,54.83870968,1893.760422,0.083388585,9.197355731
Cold,8,8C,3,45.89748973,123.7208874,57.55276979,24.44444444,1307.247988,0.0440259,9.464224733
Cold,8,8C,4,39.32734752,186.7754111,125.0255913,44.73684211,1528.199427,0.081812353,12.22192652
Cold,8,8C,5,44.72077948,156.0653551,114.296136,58.13953488,1344.686442,0.084998355,11.60607784
Cold,8,8C,6,47.93174802,203.6089625,109.3243357,48.93617021,1253.474152,0.087217064,16.24357089
Cold,8,8C,7,36.22635178,136.4892013,82.82192566,44.44444444,1654.072082,0.050071533,8.25170818
Cold,8,8C,8,50.62500316,184.5028428,68.67568743,40,1187.587876,0.057827879,15.53593183
Cold,8,8C,9,33.33721275,169.466131,135.4136882,60.60606061,1801.000556,0.075188032,9.409554619
Cold,8,8C,11,40.41624938,127.4932265,77.02282635,41.02564103,1485.825459,0.051838408,8.580632788
Cold,8,8C,12,48.39633225,169.4111061,189.1051647,44.68085106,1245.136187,0.151875085,13.60582946
Cold,8,8C,13,45.72699349,104.6109441,66.88875578,40,1313.048312,0.05094158,7.967029327
Cold,8,8C,14,44.03019097,222.1594021,182.8879625,37.20930233,1365.910354,0.133894558,16.26456681
Cold,8,8C,15,56.18237578,107.7963378,104.3109451,45.45454545,1070.237433,0.097465237,10.07218907
Cold,8,8C,16,35.95121006,96.82257418,64.27731706,37.14285714,1666.666667,0.03856639,5.80935445
Cold,8,8C,17,66.76996515,121.0898512,87.85790806,40.90909091,900.5002779,0.097565665,13.44695323
Cold,8,8C,18,44.83736132,203.3195726,135.5691753,56.81818182,1340.744858,0.10111482,15.16467293
Cold,8,8C,20,49.8593803,144.875282,81.83386344,48.97959184,1208.004447,0.067743015,11.99294277
Cold,8,8C,21,49.24598042,132.920889,87.58171905,60.41666667,1223.809146,0.071564851,10.86124331
Cold,8,8C,22,35.39053403,175.6063936,155.5171874,65.71428571,1696.312766,0.091679548,10.35224147
Cold,8,8C,23,43.98359501,154.4065289,80.09616077,37.20930233,1364.394361,0.058704553,11.31685481
Cold,8,8C,25,61.50598978,101.1101204,52.38118506,26.66666667,978.139039,0.053551881,10.33698854
Cold,8,8C,26,55.01775416,297.7149353,288.7999379,55.55555556,1102.430643,0.261966537,27.00532112
Cold,8,8C,27,53.72347725,153.141016,60.60398424,26.41509434,1116.052128,0.054302109,13.72167233
