ID,estado,period,mean_HR,condition
1,15C,First_30s,52.37426389486483,cold
1,15C,Last_30s,60.49182275746273,cold
1,1C,First_30s,22.238620218014415,cold
1,1C,Last_30s,25.7381656856665,cold
1,8C,First_30s,30.133159162612134,cold
1,8C,Last_30s,33.629691656468516,cold
1,ENVCOLD,First_30s,46.14455463527047,cold
1,ENVCOLD,Last_30s,45.90104504476883,cold
1,WATCOLD,First_30s,48.679356653783735,cold
1,WATCOLD,Last_30s,50.0438601170444,cold
2,15C,First_30s,42.126987541748605,cold
2,15C,Last_30s,42.251758477546616,cold
2,1C,First_30s,21.669529046358672,cold
2,1C,Last_30s,28.77825133633755,cold
2,ENVCOLD,First_30s,45.669114254347264,cold
2,ENVCOLD,Last_30s,45.027814767386126,cold
2,WATCOLD,First_30s,53.08584112087029,cold
2,WATCOLD,Last_30s,55.855745860834986,cold
3,15C,First_30s,47.03908639866223,cold
3,15C,Last_30s,50.80917753807848,cold
3,8C,First_30s,42.80249311243512,cold
3,8C,Last_30s,49.19728322702316,cold
3,ENVCOLD,First_30s,54.33172501746292,cold
3,ENVCOLD,Last_30s,53.349820143118166,cold
3,WATCOLD,First_30s,60.73584140017792,cold
3,WATCOLD,Last_30s,61.78747638783111,cold
4,15C,First_30s,62.20931581786887,cold
4,15C,Last_30s,74.36024931894495,cold
4,1C,First_30s,29.827306660781883,cold
4,1C,Last_30s,38.549961777260314,cold
4,8C,First_30s,36.58200980491824,cold
4,8C,Last_30s,42.769060631039565,cold
4,WATCOLD,First_30s,58.9718521543557,cold
4,WATCOLD,Last_30s,56.02705238197136,cold
5,1C,First_30s,31.433003458737513,cold
5,1C,Last_30s,43.131678114088935,cold
5,8C,First_30s,42.665548745042486,cold
5,8C,Last_30s,47.75723960547697,cold
5,ENVCOLD,First_30s,53.51765511867322,cold
5,ENVCOLD,Last_30s,58.474204638733184,cold
5,WATCOLD,First_30s,74.20481650863897,cold
5,WATCOLD,Last_30s,72.03884111175901,cold
6,15C,First_30s,54.781962169637566,cold
6,15C,Last_30s,57.28478439120195,cold
6,1C,First_30s,34.49093515453917,cold
6,1C,Last_30s,41.42517797550713,cold
6,8C,First_30s,43.37471114108894,cold
6,8C,Last_30s,53.22823657625866,cold
6,ENVCOLD,First_30s,42.82225275862319,cold
6,ENVCOLD,Last_30s,48.38430352780363,cold
6,WATCOLD,First_30s,59.091669441393094,cold
6,WATCOLD,Last_30s,57.174131288819304,cold
7,1C,First_30s,29.94399505610932,cold
7,1C,Last_30s,36.005454644100226,cold
7,8C,First_30s,33.7562216336314,cold
7,8C,Last_30s,38.74974585460536,cold
7,WATCOLD,First_30s,57.112585510018675,cold
7,WATCOLD,Last_30s,55.92726132666599,cold
8,1C,First_30s,40.97642018786644,cold
8,1C,Last_30s,51.63271801503538,cold
8,8C,First_30s,44.848521678394896,cold
8,8C,Last_30s,57.0258710746228,cold
8,ENVCOLD,First_30s,51.77964038988855,cold
8,ENVCOLD,Last_30s,48.61250721571774,cold
8,WATCOLD,First_30s,51.56410261598497,cold
8,WATCOLD,Last_30s,50.41554895452728,cold
9,15C,First_30s,56.37281286597293,cold
9,15C,Last_30s,59.09715124300943,cold
9,1C,First_30s,33.57403005219987,cold
9,1C,Last_30s,36.21780392177547,cold
9,8C,First_30s,33.194770270137994,cold
9,8C,Last_30s,34.13277468359159,cold
9,ENVCOLD,First_30s,39.1898027468154,cold
9,ENVCOLD,Last_30s,37.95305426391788,cold
9,WATCOLD,First_30s,46.696578494089934,cold
9,WATCOLD,Last_30s,44.60151577463926,cold
10,15C,First_30s,55.92267656034023,cold
10,15C,Last_30s,57.31433660981669,cold
10,1C,First_30s,54.728667794352766,cold
10,1C,Last_30s,72.64374659201953,cold
10,WATCOLD,First_30s,59.28089496049991,cold
10,WATCOLD,Last_30s,60.03216391971675,cold
11,15C,First_30s,61.505149618246165,cold
11,15C,Last_30s,70.76806152540335,cold
11,1C,First_30s,40.44291597150693,cold
11,1C,Last_30s,44.81046575278593,cold
11,8C,First_30s,38.06894526958373,cold
11,8C,Last_30s,42.98080554576885,cold
11,ENVCOLD,First_30s,50.42860842518625,cold
11,ENVCOLD,Last_30s,55.14402637767479,cold
11,WATCOLD,First_30s,64.8379207096715,cold
11,WATCOLD,Last_30s,63.56657291335176,cold
12,15C,First_30s,37.93568193675914,cold
12,15C,Last_30s,40.20125192194519,cold
12,1C,First_30s,27.898930863173,cold
12,1C,Last_30s,27.41252064395639,cold
12,8C,First_30s,48.55010802798805,cold
12,8C,Last_30s,49.34019719852895,cold
12,ENVCOLD,First_30s,36.73907548260471,cold
12,ENVCOLD,Last_30s,36.17721802253665,cold
12,WATCOLD,First_30s,53.83441074408808,cold
12,WATCOLD,Last_30s,54.80985947481705,cold
13,1C,First_30s,45.353977710637764,cold
13,1C,Last_30s,58.67687588044856,cold
13,8C,First_30s,43.05132858989921,cold
13,8C,Last_30s,48.63860098857136,cold
13,ENVCOLD,First_30s,40.07213946170496,cold
13,ENVCOLD,Last_30s,43.607003884550956,cold
13,WATCOLD,First_30s,55.3055560401483,cold
13,WATCOLD,Last_30s,62.85614447245209,cold
14,15C,First_30s,47.5890843573912,cold
14,15C,Last_30s,48.23477615207492,cold
14,1C,First_30s,21.875376013659512,cold
14,1C,Last_30s,30.49095084619913,cold
14,8C,First_30s,43.16706205025922,cold
14,8C,Last_30s,45.75361528646683,cold
14,ENVCOLD,First_30s,47.537890834802305,cold
14,ENVCOLD,Last_30s,46.3234811839978,cold
14,WATCOLD,First_30s,49.80755502828969,cold
14,WATCOLD,Last_30s,53.92556398359188,cold
15,15C,First_30s,42.26201079807968,cold
15,15C,Last_30s,45.28995015937041,cold
15,1C,First_30s,50.69069771312434,cold
15,1C,Last_30s,59.49443696196362,cold
15,8C,First_30s,54.238867059740286,cold
15,8C,Last_30s,58.883120473702654,cold
15,ENVCOLD,First_30s,42.54847948772106,cold
15,ENVCOLD,Last_30s,45.77506436842822,cold
15,WATCOLD,First_30s,49.12207226203937,cold
15,WATCOLD,Last_30s,51.04051382500299,cold
16,15C,First_30s,63.3043257782468,cold
16,15C,Last_30s,64.07340567290717,cold
16,1C,First_30s,35.18727042585135,cold
16,1C,Last_30s,39.52857613073461,cold
16,8C,First_30s,34.98949153788851,cold
16,8C,Last_30s,37.15341026333201,cold
16,WATCOLD,First_30s,66.51052289410184,cold
16,WATCOLD,Last_30s,64.80700716479002,cold
17,15C,First_30s,32.73521377294962,cold
17,15C,Last_30s,33.23864770056055,cold
17,1C,First_30s,32.51004541908298,cold
17,1C,Last_30s,37.24543097741137,cold
17,8C,First_30s,60.64219097275231,cold
17,8C,Last_30s,73.53537257841604,cold
17,ENVCOLD,First_30s,49.74779444728294,cold
17,ENVCOLD,Last_30s,52.07692436240231,cold
17,WATCOLD,First_30s,58.254761152362654,cold
17,WATCOLD,Last_30s,57.87545889167548,cold
18,15C,First_30s,44.163304848639115,cold
18,15C,Last_30s,50.366477790310206,cold
18,1C,First_30s,26.63473739716887,cold
18,1C,Last_30s,37.99806112326838,cold
18,8C,First_30s,41.31030196978871,cold
18,8C,Last_30s,49.09579152376444,cold
18,ENVCOLD,First_30s,36.394416140510494,cold
18,ENVCOLD,Last_30s,36.2040821446782,cold
18,WATCOLD,First_30s,53.207294111749526,cold
18,WATCOLD,Last_30s,54.09495211878065,cold
19,15C,First_30s,37.03750390939522,cold
19,15C,Last_30s,38.26785810951775,cold
20,15C,First_30s,61.816955927858906,cold
20,15C,Last_30s,63.39975171312177,cold
20,1C,First_30s,36.23954007951029,cold
20,1C,Last_30s,43.02073746664549,cold
20,8C,First_30s,50.572868489272544,cold
20,8C,Last_30s,50.60877161607566,cold
20,ENVCOLD,First_30s,52.52152861642954,cold
20,ENVCOLD,Last_30s,54.794037623234665,cold
21,15C,First_30s,59.74093803902683,cold
21,15C,Last_30s,64.37936305987242,cold
21,1C,First_30s,36.21381974297036,cold
21,1C,Last_30s,45.7998437622179,cold
21,8C,First_30s,48.830677664710514,cold
21,8C,Last_30s,50.64391042210238,cold
21,ENVCOLD,First_30s,42.59840068036215,cold
21,ENVCOLD,Last_30s,44.741628548439145,cold
22,15C,First_30s,84.83824099665061,cold
22,15C,Last_30s,79.0009633519869,cold
22,1C,First_30s,29.022104356647557,cold
22,1C,Last_30s,31.498900233104763,cold
22,8C,First_30s,32.39839059298069,cold
22,8C,Last_30s,38.51266603985667,cold
22,ENVCOLD,First_30s,46.19995481550471,cold
22,ENVCOLD,Last_30s,44.56045208337145,cold
22,WATCOLD,First_30s,52.97781102194523,cold
22,WATCOLD,Last_30s,52.91208095574611,cold
