 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,138.757,10.726,105,170,198,521,460,90,192
2,29848,136.947,10.535,104,169,198,521,460,90,192
3,29848,136.964,10.543,104,169,198,521,460,90,192
4,29848,134.905,10.586,99,166,198,521,460,90,192
5,29848,133.638,10.354,104,163,198,521,460,90,192
6,29848,132.731,10.365,101,163,198,521,460,90,192
7,29848,130.592,10.478,97,162,198,521,460,90,192
8,29848,138.469,11.366,106,168,198,521,460,90,192
9,29848,148.465,11.297,112,182,198,521,460,90,192
10,29848,154.650,10.694,118,184,198,521,460,90,192
11,29848,154.654,10.675,118,184,198,521,460,90,192
12,29848,156.509,10.230,121,185,198,521,460,90,192
13,29848,157.384,10.567,121,187,198,521,460,90,192
14,29848,157.775,10.622,121,190,198,521,460,90,192
15,29848,157.151,10.496,116,189,198,521,460,90,192
16,29848,157.146,10.530,123,188,198,521,460,90,192
17,29848,156.047,10.405,122,186,198,521,460,90,192
18,29848,156.049,10.404,122,186,198,521,460,90,192
19,29848,155.784,10.467,118,186,198,521,460,90,192
20,29848,155.377,10.569,119,186,198,521,460,90,192
21,29848,154.600,10.491,118,187,198,521,460,90,192
22,29848,152.658,10.749,117,185,198,521,460,90,192
23,29848,151.635,10.512,115,183,198,521,460,90,192
24,29848,151.273,10.582,116,182,198,521,460,90,192
25,29848,150.229,10.324,116,181,198,521,460,90,192
26,29848,150.249,10.320,116,181,198,521,460,90,192
27,29848,148.640,10.391,117,178,198,521,460,90,192
28,29848,148.885,10.309,118,178,198,521,460,90,192
29,29848,148.024,10.433,114,176,198,521,460,90,192
30,29848,147.383,10.395,115,174,198,521,460,90,192
31,29848,145.679,10.216,114,172,198,521,460,90,192
32,29848,144.751,10.226,112,171,198,521,460,90,192
33,29848,144.003,10.243,112,171,198,521,460,90,192
34,29848,144.001,10.228,112,171,198,521,460,90,192
35,29848,143.321,10.511,109,171,198,521,460,90,192
36,29848,142.174,10.539,108,169,198,521,460,90,192
37,29848,142.113,10.711,107,169,198,521,460,90,192
38,29848,151.108,11.476,114,179,198,521,460,90,192
39,29848,158.997,10.597,119,185,198,521,460,90,192
40,29848,162.083,10.434,125,190,198,521,460,90,192
41,29848,162.090,10.435,125,190,198,521,460,90,192
42,29848,163.766,10.235,128,192,198,521,460,90,192
43,29848,164.304,10.450,129,191,198,521,460,90,192
44,29848,163.110,10.404,129,191,198,521,460,90,192
45,29848,160.238,10.241,126,188,198,521,460,90,192
46,29848,157.864,10.409,123,187,198,521,460,90,192
47,29848,155.488,10.312,121,185,198,521,460,90,192
48,29848,154.245,10.389,118,183,198,521,460,90,192
49,29848,154.257,10.388,119,183,198,521,460,90,192
50,29848,152.371,10.480,117,183,198,521,460,90,192
51,29848,151.322,10.334,117,182,198,521,460,90,192
52,29848,149.520,10.474,112,178,198,521,460,90,192
53,29848,148.123,10.308,112,178,198,521,460,90,192
