 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,71.555,5.949,0,91,198,521,460,90,192
2,29848,71.552,6.007,0,92,198,521,460,90,192
3,29848,71.565,6.011,0,91,198,521,460,90,192
4,29848,71.074,6.099,0,91,198,521,460,90,192
5,29848,70.636,6.159,0,90,198,521,460,90,192
6,29848,70.226,6.237,0,88,198,521,460,90,192
7,29848,69.969,6.231,0,89,198,521,460,90,192
8,29848,69.970,6.228,0,89,198,521,460,90,192
9,29848,69.716,6.195,0,88,198,521,460,90,192
10,29848,69.574,6.249,0,90,198,521,460,90,192
11,29848,69.379,6.232,0,89,198,521,460,90,192
12,29848,69.211,6.291,0,90,198,521,460,90,192
13,29848,69.211,6.294,0,90,198,521,460,90,192
14,29848,69.009,6.371,0,90,198,521,460,90,192
15,29848,68.732,6.450,0,90,198,521,460,90,192
16,29848,68.269,6.556,0,94,198,521,460,90,192
17,29848,69.723,6.407,0,92,198,521,460,90,192
18,29848,69.733,6.406,0,92,198,521,460,90,192
19,29848,70.135,6.535,0,93,198,521,460,90,192
20,29848,72.256,6.652,0,94,198,521,460,90,192
21,29848,72.089,6.648,0,95,198,521,460,90,192
22,29848,72.082,6.644,0,95,198,521,460,90,192
23,29848,71.836,6.754,0,94,198,521,460,90,192
24,29848,69.392,6.829,0,92,198,521,460,90,192
25,29848,68.823,6.944,0,92,198,521,460,90,192
26,29848,68.407,7.080,0,93,198,521,460,90,192
27,29848,68.424,7.079,0,93,198,521,460,90,192
28,29848,67.893,7.229,0,93,198,521,460,90,192
29,29848,67.648,7.311,0,93,198,521,460,90,192
30,29848,67.511,7.449,0,92,198,521,460,90,192
31,29848,67.242,7.488,0,93,198,521,460,90,192
32,29848,67.257,7.485,0,93,198,521,460,90,192
33,29848,67.037,7.545,0,92,198,521,460,90,192
