 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,89.578,13.188,58,117,198,521,460,90,192
2,29848,88.645,13.035,58,114,198,521,460,90,192
3,29848,87.548,12.668,56,114,198,521,460,90,192
4,29848,86.605,12.488,57,113,198,521,460,90,192
5,29848,85.956,12.201,58,113,198,521,460,90,192
6,29848,85.960,12.224,58,113,198,521,460,90,192
7,29848,85.225,12.175,56,110,198,521,460,90,192
8,29848,84.411,11.955,56,109,198,521,460,90,192
9,29848,83.950,11.804,56,109,198,521,460,90,192
10,29848,84.202,11.731,55,109,198,521,460,90,192
11,29848,83.828,11.780,55,108,198,521,460,90,192
12,29848,83.792,11.815,56,108,198,521,460,90,192
13,29848,83.417,11.835,56,108,198,521,460,90,192
14,29848,82.598,12.301,55,108,198,521,460,90,192
15,29848,82.170,12.243,53,107,198,521,460,90,192
16,29848,82.598,12.669,53,108,198,521,460,90,192
17,29848,85.111,14.800,56,122,198,521,460,90,192
18,29848,89.360,16.874,56,127,198,521,460,90,192
19,29848,92.194,17.209,56,131,198,521,460,90,192
20,29848,92.206,17.216,56,131,198,521,460,90,192
21,29848,94.507,17.713,56,133,198,521,460,90,192
22,29848,96.573,17.279,58,133,198,521,460,90,192
23,29848,97.625,17.414,58,135,198,521,460,90,192
24,29848,98.623,17.557,58,137,198,521,460,90,192
25,29848,99.137,17.591,58,138,198,521,460,90,192
26,29848,99.759,17.742,59,138,198,521,460,90,192
27,29848,100.145,17.673,59,139,198,521,460,90,192
28,29848,99.598,17.538,58,137,198,521,460,90,192
29,29848,99.617,17.396,58,135,198,521,460,90,192
30,29848,100.322,17.304,59,136,198,521,460,90,192
31,29848,100.973,17.160,62,136,198,521,460,90,192
32,29848,101.017,17.020,62,138,198,521,460,90,192
33,29848,101.144,16.902,63,137,198,521,460,90,192
34,29848,101.156,16.909,63,137,198,521,460,90,192
35,29848,101.429,16.800,63,138,198,521,460,90,192
36,29848,100.831,16.462,62,138,198,521,460,90,192
37,29848,100.784,16.574,62,138,198,521,460,90,192
38,29848,100.854,16.624,63,138,198,521,460,90,192
39,29848,100.036,16.309,64,135,198,521,460,90,192
40,29848,99.460,16.199,64,135,198,521,460,90,192
41,29848,98.989,16.115,62,133,198,521,460,90,192
42,29848,98.117,15.922,62,133,198,521,460,90,192
43,29848,97.839,15.886,61,133,198,521,460,90,192
44,29848,96.895,15.405,61,129,198,521,460,90,192
45,29848,96.130,15.283,61,126,198,521,460,90,192
46,29848,94.984,15.301,59,126,198,521,460,90,192
47,29848,94.192,14.938,58,124,198,521,460,90,192
48,29848,94.203,14.935,58,125,198,521,460,90,192
49,29848,93.369,14.531,59,123,198,521,460,90,192
50,29848,92.422,14.354,57,123,198,521,460,90,192
51,29848,91.375,14.503,55,122,198,521,460,90,192
52,29848,90.676,14.116,56,121,198,521,460,90,192
53,29848,89.890,13.719,57,119,198,521,460,90,192
54,29848,89.474,13.347,57,117,198,521,460,90,192
55,29848,88.475,13.120,57,116,198,521,460,90,192
56,29848,87.599,12.916,56,115,198,521,460,90,192
57,29848,86.881,12.638,56,114,198,521,460,90,192
58,29848,86.506,12.373,55,113,198,521,460,90,192
59,29848,85.851,12.303,55,112,198,521,460,90,192
60,29848,85.743,12.215,55,112,198,521,460,90,192
61,29848,85.218,12.108,55,112,198,521,460,90,192
62,29848,85.219,12.115,55,112,198,521,460,90,192
63,29848,84.776,11.954,55,110,198,521,460,90,192
64,29848,84.187,12.016,56,110,198,521,460,90,192
65,29848,84.054,12.093,56,110,198,521,460,90,192
66,29848,83.326,12.329,55,110,198,521,460,90,192
67,29848,82.295,12.359,52,110,198,521,460,90,192
68,29848,81.262,12.114,53,109,198,521,460,90,192
69,29848,81.486,12.410,55,110,198,521,460,90,192
70,29848,83.674,14.430,55,120,198,521,460,90,192
71,29848,86.435,15.884,56,124,198,521,460,90,192
72,29848,89.392,16.162,56,125,198,521,460,90,192
73,29848,92.767,15.988,59,129,198,521,460,90,192
74,29848,95.035,16.281,60,131,198,521,460,90,192
75,29848,96.940,16.492,61,134,198,521,460,90,192
76,29848,98.294,16.689,62,135,198,521,460,90,192
77,29848,98.282,16.687,62,135,198,521,460,90,192
78,29848,98.561,16.912,62,138,198,521,460,90,192
79,29848,101.858,17.158,61,141,198,521,460,90,192
80,29848,102.575,17.107,63,141,198,521,460,90,192
81,29848,102.997,16.896,66,140,198,521,460,90,192
82,29848,103.379,16.685,66,141,198,521,460,90,192
83,29848,103.760,16.789,65,141,198,521,460,90,192
84,29848,103.139,16.328,64,141,198,521,460,90,192
85,29848,102.586,15.967,65,140,198,521,460,90,192
86,29848,103.061,16.212,65,140,198,521,460,90,192
87,29848,102.678,16.327,65,141,198,521,460,90,192
88,29848,101.907,16.118,65,139,198,521,460,90,192
89,29848,101.099,16.167,64,139,198,521,460,90,192
90,29848,100.247,16.286,64,140,198,521,460,90,192
91,29848,100.242,16.296,64,140,198,521,460,90,192
92,29848,99.387,15.984,63,138,198,521,460,90,192
