 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,91.043,18.943,48,141,198,521,460,90,192
2,29848,92.162,19.608,51,143,198,521,460,90,192
3,29848,93.038,19.883,47,144,198,521,460,90,192
4,29848,93.364,19.853,48,144,198,521,460,90,192
5,29848,90.978,18.137,47,138,198,521,460,90,192
6,29848,90.979,18.147,47,138,198,521,460,90,192
7,29848,89.794,17.517,47,135,198,521,460,90,192
8,29848,88.650,16.899,48,132,198,521,460,90,192
9,29848,87.480,16.298,48,128,198,521,460,90,192
10,29848,86.817,16.014,48,129,198,521,460,90,192
11,29848,86.254,15.464,47,123,198,521,460,90,192
12,29848,84.658,14.859,47,122,198,521,460,90,192
13,29848,82.698,14.031,47,116,198,521,460,90,192
14,29848,82.690,14.039,47,116,198,521,460,90,192
15,29848,80.709,13.253,47,113,198,521,460,90,192
16,29848,78.927,12.301,46,110,198,521,460,90,192
17,29848,76.378,11.722,42,106,198,521,460,90,192
18,29848,74.794,10.890,41,102,198,521,460,90,192
19,29848,73.555,10.694,41,99,198,521,460,90,192
20,29848,72.388,10.617,41,99,198,521,460,90,192
21,29848,72.645,10.747,41,99,198,521,460,90,192
22,29848,72.656,10.738,40,99,198,521,460,90,192
23,29848,73.075,10.849,41,99,198,521,460,90,192
24,29848,73.214,11.043,41,100,198,521,460,90,192
25,29848,73.179,11.458,40,99,198,521,460,90,192
26,29848,74.207,12.518,37,104,198,521,460,90,192
27,29848,77.033,13.842,37,112,198,521,460,90,192
28,29848,82.475,15.779,41,119,198,521,460,90,192
29,29848,82.486,15.768,41,119,198,521,460,90,192
30,29848,87.641,18.688,44,136,198,521,460,90,192
31,29848,89.805,19.833,44,140,198,521,460,90,192
32,29848,90.210,20.278,44,143,198,521,460,90,192
33,29848,90.492,19.943,47,145,198,521,460,90,192
34,29848,90.845,19.703,47,142,198,521,460,90,192
35,29848,89.125,18.003,47,136,198,521,460,90,192
36,29848,88.195,17.466,46,134,198,521,460,90,192
37,29848,88.192,17.469,46,134,198,521,460,90,192
38,29848,87.696,17.236,46,128,198,521,460,90,192
39,29848,86.918,16.779,46,127,198,521,460,90,192
40,29848,86.285,16.299,46,125,198,521,460,90,192
41,29848,84.756,15.709,47,123,198,521,460,90,192
42,29848,82.727,14.982,45,116,198,521,460,90,192
43,29848,81.037,14.096,45,113,198,521,460,90,192
44,29848,79.916,13.026,46,108,198,521,460,90,192
45,29848,79.930,13.019,46,108,198,521,460,90,192
46,29848,78.183,12.235,46,108,198,521,460,90,192
47,29848,76.344,11.855,40,105,198,521,460,90,192
48,29848,74.621,11.320,41,101,198,521,460,90,192
49,29848,73.549,11.323,39,99,198,521,460,90,192
50,29848,72.940,11.220,40,98,198,521,460,90,192
51,29848,72.636,11.608,38,97,198,521,460,90,192
52,29848,72.725,11.816,38,105,198,521,460,90,192
53,29848,72.731,11.822,38,105,198,521,460,90,192
54,29848,75.828,13.304,40,107,198,521,460,90,192
55,29848,84.456,16.267,44,125,198,521,460,90,192
56,29848,90.205,19.349,45,137,198,521,460,90,192
57,29848,91.076,20.070,45,143,198,521,460,90,192
58,29848,91.521,19.893,47,141,198,521,460,90,192
59,29848,89.736,19.241,45,139,198,521,460,90,192
60,29848,89.741,19.242,44,139,198,521,460,90,192
61,29848,88.510,18.600,46,135,198,521,460,90,192
62,29848,88.065,18.318,45,134,198,521,460,90,192
63,29848,87.677,17.929,45,134,198,521,460,90,192
64,29848,85.928,17.765,44,134,198,521,460,90,192
65,29848,84.421,17.579,38,129,198,521,460,90,192
66,29848,83.841,17.307,37,128,198,521,460,90,192
67,29848,83.049,17.168,37,122,198,521,460,90,192
68,29848,83.052,17.167,37,122,198,521,460,90,192
69,29848,82.413,17.130,33,123,198,521,460,90,192
70,29848,81.308,16.419,34,119,198,521,460,90,192
71,29848,81.457,15.945,40,117,198,521,460,90,192
72,29848,80.631,15.559,40,118,198,521,460,90,192
73,29848,79.123,15.547,34,114,198,521,460,90,192
74,29848,77.906,14.958,32,109,198,521,460,90,192
75,29848,77.365,14.281,32,107,198,521,460,90,192
76,29848,77.367,14.280,32,107,198,521,460,90,192
77,29848,77.343,13.911,37,107,198,521,460,90,192
78,29848,76.928,13.790,34,108,198,521,460,90,192
79,29848,76.634,13.907,34,107,198,521,460,90,192
80,29848,77.093,14.058,39,110,198,521,460,90,192
81,29848,77.085,14.174,39,109,198,521,460,90,192
82,29848,77.798,14.341,38,111,198,521,460,90,192
83,29848,77.800,14.343,39,111,198,521,460,90,192
84,29848,81.882,15.901,41,119,198,521,460,90,192
85,29848,86.023,17.904,42,128,198,521,460,90,192
86,29848,88.092,18.879,43,137,198,521,460,90,192
87,29848,88.491,19.130,41,136,198,521,460,90,192
88,29848,88.794,19.411,39,140,198,521,460,90,192
89,29848,88.973,19.379,41,141,198,521,460,90,192
90,29848,88.772,19.216,41,141,198,521,460,90,192
91,29848,88.720,19.209,41,142,198,521,460,90,192
92,29848,89.122,19.224,35,142,198,521,460,90,192
93,29848,89.564,19.109,42,142,198,521,460,90,192
94,29848,90.294,19.010,48,142,198,521,460,90,192
95,29848,90.189,18.692,48,138,198,521,460,90,192
