 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,62.331,10.597,37,88,198,521,460,90,192
2,29848,63.157,11.051,37,89,198,521,460,90,192
3,29848,67.257,13.064,38,96,198,521,460,90,192
4,29848,71.585,14.510,39,105,198,521,460,90,192
5,29848,74.814,14.956,40,114,198,521,460,90,192
6,29848,74.806,14.950,40,114,198,521,460,90,192
7,29848,75.882,14.852,41,114,198,521,460,90,192
8,29848,76.039,14.780,41,114,198,521,460,90,192
9,29848,74.878,14.000,41,109,198,521,460,90,192
10,29848,74.034,13.664,41,108,198,521,460,90,192
11,29848,72.927,13.611,41,107,198,521,460,90,192
12,29848,72.369,13.460,41,107,198,521,460,90,192
13,29848,72.358,13.461,41,105,198,521,460,90,192
14,29848,71.513,13.187,40,103,198,521,460,90,192
15,29848,70.429,12.864,40,102,198,521,460,90,192
16,29848,69.705,12.522,40,100,198,521,460,90,192
17,29848,68.967,12.365,38,99,198,521,460,90,192
18,29848,68.320,12.145,40,100,198,521,460,90,192
19,29848,67.933,11.901,39,98,198,521,460,90,192
20,29848,67.212,11.718,40,98,198,521,460,90,192
21,29848,67.214,11.711,40,98,198,521,460,90,192
22,29848,66.756,11.571,40,97,198,521,460,90,192
23,29848,66.263,11.380,39,94,198,521,460,90,192
24,29848,65.622,11.116,38,93,198,521,460,90,192
25,29848,64.905,10.985,39,92,198,521,460,90,192
26,29848,64.564,10.653,38,89,198,521,460,90,192
27,29848,63.881,10.390,39,88,198,521,460,90,192
28,29848,63.323,10.295,40,88,198,521,460,90,192
29,29848,63.327,10.287,39,88,198,521,460,90,192
30,29848,62.806,10.222,39,87,198,521,460,90,192
31,29848,62.233,10.059,39,87,198,521,460,90,192
32,29848,61.577,10.034,38,88,198,521,460,90,192
33,29848,61.423,9.970,38,86,198,521,460,90,192
34,29848,60.739,9.922,38,84,198,521,460,90,192
35,29848,60.655,10.102,38,84,198,521,460,90,192
36,29848,60.659,10.093,38,84,198,521,460,90,192
37,29848,62.719,11.335,38,89,198,521,460,90,192
38,29848,67.310,13.035,38,103,198,521,460,90,192
39,29848,70.352,13.540,40,104,198,521,460,90,192
40,29848,71.756,13.628,41,108,198,521,460,90,192
41,29848,72.444,13.943,42,109,198,521,460,90,192
42,29848,72.944,13.922,42,108,198,521,460,90,192
43,29848,72.896,13.764,42,107,198,521,460,90,192
44,29848,72.903,13.771,42,107,198,521,460,90,192
45,29848,72.147,13.350,42,105,198,521,460,90,192
46,29848,71.389,13.140,41,104,198,521,460,90,192
47,29848,70.451,12.727,41,103,198,521,460,90,192
48,29848,69.717,12.545,40,101,198,521,460,90,192
49,29848,68.998,12.293,40,100,198,521,460,90,192
50,29848,68.304,12.172,40,99,198,521,460,90,192
51,29848,67.561,11.871,39,97,198,521,460,90,192
52,29848,67.578,11.873,39,97,198,521,460,90,192
53,29848,67.018,11.734,40,95,198,521,460,90,192
54,29848,66.228,11.460,39,95,198,521,460,90,192
55,29848,65.428,11.216,40,93,198,521,460,90,192
56,29848,64.832,11.030,38,93,198,521,460,90,192
57,29848,64.605,10.764,39,94,198,521,460,90,192
58,29848,64.082,10.513,38,89,198,521,460,90,192
59,29848,63.470,10.277,39,89,198,521,460,90,192
60,29848,63.475,10.279,39,89,198,521,460,90,192
61,29848,62.956,10.274,39,87,198,521,460,90,192
62,29848,62.267,10.170,37,86,198,521,460,90,192
63,29848,61.594,9.887,39,84,198,521,460,90,192
64,29848,61.256,9.893,38,84,198,521,460,90,192
65,29848,60.931,9.949,39,84,198,521,460,90,192
66,29848,60.948,9.902,36,84,198,521,460,90,192
67,29848,60.954,9.901,36,84,198,521,460,90,192
68,29848,60.703,10.017,37,86,198,521,460,90,192
69,29848,60.168,10.145,38,83,198,521,460,90,192
70,29848,60.403,10.245,38,85,198,521,460,90,192
71,29848,63.270,11.794,37,92,198,521,460,90,192
72,29848,67.681,13.576,37,103,198,521,460,90,192
73,29848,71.591,14.038,39,110,198,521,460,90,192
74,29848,72.760,14.264,39,112,198,521,460,90,192
75,29848,72.762,14.262,39,112,198,521,460,90,192
76,29848,73.240,14.272,40,109,198,521,460,90,192
77,29848,73.552,14.254,40,110,198,521,460,90,192
78,29848,72.787,13.532,39,109,198,521,460,90,192
79,29848,71.833,13.293,39,104,198,521,460,90,192
80,29848,71.469,13.128,40,103,198,521,460,90,192
81,29848,71.373,13.044,40,104,198,521,460,90,192
82,29848,70.986,13.008,40,103,198,521,460,90,192
83,29848,70.976,13.003,40,103,198,521,460,90,192
84,29848,70.311,12.846,40,101,198,521,460,90,192
85,29848,69.979,12.589,40,101,198,521,460,90,192
86,29848,69.949,12.386,41,101,198,521,460,90,192
87,29848,69.209,12.072,41,100,198,521,460,90,192
