 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,143.481,54.252,0,200,198,521,460,90,192
2,29848,143.482,54.256,0,200,198,521,460,90,192
3,29848,154.808,60.702,0,237,198,521,460,90,192
4,29848,168.161,66.667,0,243,198,521,460,90,192
5,29848,172.633,67.698,0,243,198,521,460,90,192
6,29848,175.400,68.402,0,243,198,521,460,90,192
7,29848,176.197,68.597,0,244,198,521,460,90,192
8,29848,176.537,68.530,0,243,198,521,460,90,192
9,29848,174.117,67.529,0,243,198,521,460,90,192
10,29848,173.012,67.131,0,243,198,521,460,90,192
11,29848,174.160,67.478,0,243,198,521,460,90,192
12,29848,174.639,67.364,0,242,198,521,460,90,192
13,29848,173.880,67.027,0,242,198,521,460,90,192
14,29848,172.226,66.286,0,241,198,521,460,90,192
15,29848,169.789,65.076,0,239,198,521,460,90,192
16,29848,166.590,63.403,0,235,198,521,460,90,192
17,29848,162.704,61.646,0,230,198,521,460,90,192
18,29848,156.263,58.767,0,223,198,521,460,90,192
19,29848,153.975,57.789,0,220,198,521,460,90,192
20,29848,151.225,56.934,0,216,198,521,460,90,192
21,29848,151.205,56.937,0,217,198,521,460,90,192
22,29848,149.908,56.344,0,214,198,521,460,90,192
23,29848,148.768,55.844,0,211,198,521,460,90,192
24,29848,146.813,54.966,0,205,198,521,460,90,192
25,29848,144.552,54.280,0,192,198,521,460,90,192
26,29848,143.499,54.293,0,195,198,521,460,90,192
27,29848,149.386,58.015,0,227,198,521,460,90,192
28,29848,165.468,66.046,0,243,198,521,460,90,192
29,29848,172.358,68.008,0,243,198,521,460,90,192
30,29848,174.389,68.475,0,243,198,521,460,90,192
31,29848,175.968,68.789,0,243,198,521,460,90,192
32,29848,176.544,68.835,0,244,198,521,460,90,192
33,29848,174.794,68.040,0,242,198,521,460,90,192
34,29848,173.938,67.677,0,242,198,521,460,90,192
35,29848,174.593,67.936,0,242,198,521,460,90,192
36,29848,175.350,68.040,0,242,198,521,460,90,192
37,29848,173.216,67.186,0,242,198,521,460,90,192
38,29848,171.547,66.455,0,241,198,521,460,90,192
39,29848,169.233,65.251,0,240,198,521,460,90,192
40,29848,166.412,63.925,0,238,198,521,460,90,192
41,29848,166.470,63.935,0,238,198,521,460,90,192
42,29848,164.086,62.870,0,236,198,521,460,90,192
43,29848,161.488,61.811,0,232,198,521,460,90,192
44,29848,158.775,60.556,0,228,198,521,460,90,192
45,29848,155.836,59.211,0,224,198,521,460,90,192
46,29848,153.379,58.246,0,219,198,521,460,90,192
47,29848,151.529,57.419,0,217,198,521,460,90,192
48,29848,149.043,56.298,0,209,198,521,460,90,192
49,29848,145.475,54.885,0,201,198,521,460,90,192
50,29848,143.417,54.512,0,200,198,521,460,90,192
51,29848,149.928,58.734,0,230,198,521,460,90,192
52,29848,167.157,66.916,0,244,198,521,460,90,192
53,29848,173.233,68.392,0,243,198,521,460,90,192
54,29848,174.864,68.557,0,243,198,521,460,90,192
55,29848,175.690,68.768,0,243,198,521,460,90,192
56,29848,174.677,68.077,0,243,198,521,460,90,192
57,29848,173.189,67.680,0,243,198,521,460,90,192
58,29848,173.216,67.658,0,243,198,521,460,90,192
59,29848,174.108,68.001,0,243,198,521,460,90,192
60,29848,174.124,68.007,0,243,198,521,460,90,192
61,29848,174.032,67.870,0,242,198,521,460,90,192
62,29848,172.717,67.627,0,243,198,521,460,90,192
63,29848,170.790,66.934,0,242,198,521,460,90,192
64,29848,169.145,66.257,0,241,198,521,460,90,192
65,29848,166.907,65.175,0,241,198,521,460,90,192
66,29848,164.523,64.167,0,241,198,521,460,90,192
67,29848,162.674,63.358,0,239,198,521,460,90,192
68,29848,159.891,61.983,0,237,198,521,460,90,192
69,29848,157.029,60.634,0,233,198,521,460,90,192
70,29848,153.754,59.344,0,231,198,521,460,90,192
71,29848,151.245,58.096,0,224,198,521,460,90,192
72,29848,149.368,57.361,0,223,198,521,460,90,192
73,29848,145.474,56.121,0,216,198,521,460,90,192
74,29848,140.859,54.688,0,202,198,521,460,90,192
75,29848,138.915,54.830,0,208,198,521,460,90,192
76,29848,168.247,68.358,0,243,198,521,460,90,192
77,29848,170.772,68.840,0,243,198,521,460,90,192
78,29848,172.104,69.151,0,244,198,521,460,90,192
