 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,113.315,14.994,0,156,198,521,460,90,192
2,29848,112.818,14.834,0,158,198,521,460,90,192
3,29848,112.498,14.689,0,154,198,521,460,90,192
4,29848,112.011,14.558,0,156,198,521,460,90,192
5,29848,111.810,14.387,0,156,198,521,460,90,192
6,29848,111.340,14.217,0,156,198,521,460,90,192
7,29848,110.754,14.058,0,156,198,521,460,90,192
8,29848,110.282,13.923,0,156,198,521,460,90,192
9,29848,109.827,13.816,0,155,198,521,460,90,192
10,29848,109.368,13.612,0,153,198,521,460,90,192
11,29848,109.065,13.589,0,151,198,521,460,90,192
12,29848,108.701,13.456,0,150,198,521,460,90,192
13,29848,108.685,13.450,0,150,198,521,460,90,192
14,29848,108.502,13.473,0,148,198,521,460,90,192
15,29848,108.246,13.444,0,148,198,521,460,90,192
16,29848,107.977,13.351,0,146,198,521,460,90,192
17,29848,107.636,13.292,0,145,198,521,460,90,192
18,29848,107.583,13.246,0,140,198,521,460,90,192
19,29848,107.836,13.334,0,141,198,521,460,90,192
20,29848,110.031,14.274,0,148,198,521,460,90,192
21,29848,112.220,15.021,0,158,198,521,460,90,192
22,29848,114.978,16.512,0,158,198,521,460,90,192
23,29848,116.769,17.119,0,162,198,521,460,90,192
24,29848,117.611,17.390,0,161,198,521,460,90,192
25,29848,118.227,17.448,0,166,198,521,460,90,192
26,29848,118.425,17.505,0,166,198,521,460,90,192
27,29848,118.264,17.277,0,164,198,521,460,90,192
28,29848,118.110,17.128,0,163,198,521,460,90,192
29,29848,117.788,17.025,0,162,198,521,460,90,192
30,29848,117.643,16.868,0,164,198,521,460,90,192
31,29848,117.405,16.853,0,162,198,521,460,90,192
32,29848,117.310,16.833,0,162,198,521,460,90,192
33,29848,117.303,16.827,0,161,198,521,460,90,192
34,29848,116.984,16.607,0,161,198,521,460,90,192
35,29848,117.030,16.470,0,161,198,521,460,90,192
36,29848,116.938,16.429,0,162,198,521,460,90,192
37,29848,116.931,16.426,0,162,198,521,460,90,192
38,29848,116.672,16.481,0,161,198,521,460,90,192
39,29848,116.470,16.250,0,162,198,521,460,90,192
40,29848,116.485,16.118,0,160,198,521,460,90,192
41,29848,116.313,16.150,0,159,198,521,460,90,192
42,29848,116.106,16.214,0,161,198,521,460,90,192
43,29848,115.809,16.077,0,162,198,521,460,90,192
44,29848,115.565,15.963,0,161,198,521,460,90,192
45,29848,115.280,15.891,0,162,198,521,460,90,192
46,29848,115.252,15.749,0,162,198,521,460,90,192
47,29848,114.842,15.678,0,159,198,521,460,90,192
48,29848,114.684,15.450,0,160,198,521,460,90,192
49,29848,114.392,15.301,0,157,198,521,460,90,192
50,29848,114.038,15.279,0,158,198,521,460,90,192
51,29848,113.724,15.097,0,158,198,521,460,90,192
52,29848,113.081,14.810,0,158,198,521,460,90,192
53,29848,112.616,14.614,0,158,198,521,460,90,192
54,29848,111.321,14.122,0,156,198,521,460,90,192
55,29848,110.965,13.921,0,156,198,521,460,90,192
56,29848,110.352,13.836,0,156,198,521,460,90,192
57,29848,109.933,13.626,0,148,198,521,460,90,192
58,29848,109.481,13.528,0,145,198,521,460,90,192
59,29848,109.222,13.455,0,143,198,521,460,90,192
60,29848,108.721,13.277,0,143,198,521,460,90,192
61,29848,108.321,13.160,0,142,198,521,460,90,192
62,29848,108.321,13.161,0,142,198,521,460,90,192
63,29848,108.054,13.040,0,139,198,521,460,90,192
64,29848,107.682,12.989,0,139,198,521,460,90,192
65,29848,107.123,13.101,0,139,198,521,460,90,192
66,29848,107.146,13.133,0,139,198,521,460,90,192
67,29848,108.481,13.623,0,140,198,521,460,90,192
68,29848,110.870,14.677,0,152,198,521,460,90,192
69,29848,113.695,15.815,0,154,198,521,460,90,192
70,29848,116.064,16.811,0,162,198,521,460,90,192
71,29848,117.530,17.410,0,162,198,521,460,90,192
72,29848,118.164,17.444,0,162,198,521,460,90,192
73,29848,118.472,17.488,0,165,198,521,460,90,192
74,29848,118.490,17.474,0,165,198,521,460,90,192
75,29848,118.149,17.200,0,164,198,521,460,90,192
76,29848,117.760,17.124,0,162,198,521,460,90,192
77,29848,117.413,16.931,0,163,198,521,460,90,192
78,29848,117.327,16.828,0,162,198,521,460,90,192
79,29848,117.208,16.675,0,162,198,521,460,90,192
80,29848,117.128,16.571,0,161,198,521,460,90,192
81,29848,117.010,16.626,0,160,198,521,460,90,192
82,29848,116.791,16.601,0,159,198,521,460,90,192
83,29848,116.645,16.609,0,159,198,521,460,90,192
84,29848,116.536,16.473,0,158,198,521,460,90,192
85,29848,116.419,16.378,0,156,198,521,460,90,192
86,29848,116.416,16.382,0,156,198,521,460,90,192
87,29848,116.234,16.379,0,159,198,521,460,90,192
88,29848,115.918,16.204,0,160,198,521,460,90,192
89,29848,115.691,16.155,0,162,198,521,460,90,192
90,29848,115.540,16.050,0,163,198,521,460,90,192
91,29848,115.321,15.936,0,164,198,521,460,90,192
92,29848,114.792,15.792,0,162,198,521,460,90,192
93,29848,114.482,15.596,0,160,198,521,460,90,192
94,29848,114.072,15.226,0,159,198,521,460,90,192
95,29848,113.700,15.161,0,157,198,521,460,90,192
96,29848,113.464,15.082,0,159,198,521,460,90,192
97,29848,113.146,14.709,0,154,198,521,460,90,192
98,29848,112.853,14.510,0,151,198,521,460,90,192
99,29848,112.343,14.390,0,153,198,521,460,90,192
100,29848,112.013,14.206,0,152,198,521,460,90,192
101,29848,111.591,13.871,0,154,198,521,460,90,192
102,29848,110.996,13.669,0,155,198,521,460,90,192
103,29848,110.499,13.551,0,155,198,521,460,90,192
