 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,75.574,44.194,0,142,198,521,460,90,192
2,29848,75.521,44.071,0,140,198,521,460,90,192
3,29848,75.346,43.837,0,139,198,521,460,90,192
4,29848,74.840,43.409,0,134,198,521,460,90,192
5,29848,74.259,43.022,0,133,198,521,460,90,192
6,29848,74.135,42.839,0,132,198,521,460,90,192
7,29848,73.797,42.553,0,129,198,521,460,90,192
8,29848,73.279,42.178,0,129,198,521,460,90,192
9,29848,73.268,42.171,0,129,198,521,460,90,192
10,29848,72.635,41.732,0,125,198,521,460,90,192
11,29848,72.503,41.600,0,125,198,521,460,90,192
12,29848,72.801,41.748,0,125,198,521,460,90,192
13,29848,72.644,41.657,0,125,198,521,460,90,192
14,29848,72.557,41.621,0,125,198,521,460,90,192
15,29848,72.644,41.681,0,128,198,521,460,90,192
16,29848,72.639,41.667,0,129,198,521,460,90,192
17,29848,72.838,41.906,0,130,198,521,460,90,192
18,29848,73.666,42.502,0,134,198,521,460,90,192
19,29848,73.663,42.500,0,135,198,521,460,90,192
20,29848,75.154,43.470,0,139,198,521,460,90,192
21,29848,76.292,44.187,0,142,198,521,460,90,192
22,29848,76.643,44.315,0,143,198,521,460,90,192
23,29848,76.927,44.441,0,143,198,521,460,90,192
24,29848,77.282,44.557,0,143,198,521,460,90,192
25,29848,77.581,44.619,0,143,198,521,460,90,192
26,29848,77.627,44.507,0,140,198,521,460,90,192
27,29848,77.515,44.363,0,139,198,521,460,90,192
28,29848,77.188,44.087,0,137,198,521,460,90,192
29,29848,76.903,43.895,0,136,198,521,460,90,192
30,29848,76.909,43.900,0,136,198,521,460,90,192
31,29848,76.929,43.791,0,135,198,521,460,90,192
32,29848,76.850,43.651,0,133,198,521,460,90,192
33,29848,76.293,43.280,0,132,198,521,460,90,192
34,29848,76.150,43.044,0,128,198,521,460,90,192
35,29848,76.730,43.110,0,128,198,521,460,90,192
36,29848,76.346,42.843,0,126,198,521,460,90,192
37,29848,75.352,42.332,0,122,198,521,460,90,192
38,29848,75.205,42.258,0,123,198,521,460,90,192
39,29848,75.124,42.209,0,122,198,521,460,90,192
40,29848,74.861,42.102,0,122,198,521,460,90,192
41,29848,74.864,42.103,0,122,198,521,460,90,192
42,29848,74.405,41.926,0,123,198,521,460,90,192
43,29848,74.174,41.842,0,124,198,521,460,90,192
44,29848,74.058,41.779,0,123,198,521,460,90,192
45,29848,74.300,41.918,0,123,198,521,460,90,192
46,29848,74.685,42.229,0,127,198,521,460,90,192
47,29848,75.830,43.007,0,130,198,521,460,90,192
48,29848,76.665,43.498,0,132,198,521,460,90,192
49,29848,77.111,43.783,0,133,198,521,460,90,192
50,29848,77.684,44.117,0,134,198,521,460,90,192
51,29848,77.690,44.123,0,134,198,521,460,90,192
52,29848,77.737,44.148,0,134,198,521,460,90,192
53,29848,77.960,44.282,0,134,198,521,460,90,192
54,29848,78.312,44.457,0,134,198,521,460,90,192
55,29848,78.583,44.566,0,134,198,521,460,90,192
56,29848,78.787,44.702,0,134,198,521,460,90,192
57,29848,79.060,44.875,0,134,198,521,460,90,192
58,29848,79.555,45.111,0,134,198,521,460,90,192
59,29848,79.939,45.267,0,134,198,521,460,90,192
60,29848,80.250,45.418,0,136,198,521,460,90,192
61,29848,80.348,45.436,0,136,198,521,460,90,192
62,29848,80.344,45.434,0,136,198,521,460,90,192
63,29848,80.205,45.330,0,137,198,521,460,90,192
64,29848,78.711,44.456,0,132,198,521,460,90,192
65,29848,78.627,44.411,0,131,198,521,460,90,192
66,29848,78.725,44.462,0,131,198,521,460,90,192
67,29848,79.090,44.650,0,132,198,521,460,90,192
68,29848,79.286,44.810,0,132,198,521,460,90,192
69,29848,79.726,45.100,0,131,198,521,460,90,192
70,29848,79.846,45.233,0,132,198,521,460,90,192
71,29848,79.918,45.382,0,133,198,521,460,90,192
72,29848,79.998,45.451,0,133,198,521,460,90,192
