 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,79.937,9.018,38,105,198,521,460,90,192
2,29848,77.691,8.289,37,103,198,521,460,90,192
3,29848,77.697,8.276,37,103,198,521,460,90,192
4,29848,80.918,8.956,37,104,198,521,460,90,192
5,29848,96.955,15.239,51,139,198,521,460,90,192
6,29848,108.630,18.409,51,152,198,521,460,90,192
7,29848,113.413,18.508,56,164,198,521,460,90,192
8,29848,118.371,18.524,57,161,198,521,460,90,192
9,29848,118.304,19.342,55,162,198,521,460,90,192
10,29848,112.689,18.195,53,152,198,521,460,90,192
11,29848,112.703,18.190,53,152,198,521,460,90,192
12,29848,110.232,17.573,48,150,198,521,460,90,192
13,29848,108.963,17.241,49,149,198,521,460,90,192
14,29848,108.297,17.021,49,148,198,521,460,90,192
15,29848,106.944,15.947,49,146,198,521,460,90,192
16,29848,106.253,15.376,49,143,198,521,460,90,192
17,29848,105.095,15.036,49,141,198,521,460,90,192
18,29848,105.100,15.038,49,141,198,521,460,90,192
19,29848,103.681,14.697,48,135,198,521,460,90,192
20,29848,101.498,14.167,46,134,198,521,460,90,192
21,29848,99.441,13.535,51,129,198,521,460,90,192
22,29848,97.063,12.599,50,125,198,521,460,90,192
23,29848,94.425,11.657,48,121,198,521,460,90,192
24,29848,91.353,10.917,43,116,198,521,460,90,192
25,29848,88.960,10.272,44,112,198,521,460,90,192
26,29848,88.972,10.279,44,112,198,521,460,90,192
27,29848,86.857,9.707,43,111,198,521,460,90,192
28,29848,85.342,9.625,41,112,198,521,460,90,192
29,29848,83.895,9.263,41,110,198,521,460,90,192
30,29848,82.799,9.034,42,110,198,521,460,90,192
31,29848,82.026,8.956,41,108,198,521,460,90,192
32,29848,80.689,8.554,41,106,198,521,460,90,192
33,29848,77.875,7.804,44,102,198,521,460,90,192
34,29848,77.874,7.799,43,101,198,521,460,90,192
35,29848,82.221,9.265,37,107,198,521,460,90,192
36,29848,97.275,15.699,53,142,198,521,460,90,192
37,29848,106.279,18.375,52,152,198,521,460,90,192
38,29848,110.264,18.734,51,155,198,521,460,90,192
39,29848,114.763,19.349,49,158,198,521,460,90,192
40,29848,113.913,19.833,51,156,198,521,460,90,192
41,29848,113.915,19.819,51,156,198,521,460,90,192
42,29848,109.558,18.528,48,151,198,521,460,90,192
43,29848,107.542,17.937,45,149,198,521,460,90,192
44,29848,106.567,17.410,45,149,198,521,460,90,192
45,29848,106.268,16.979,45,146,198,521,460,90,192
46,29848,105.564,15.965,45,143,198,521,460,90,192
47,29848,104.797,15.390,48,142,198,521,460,90,192
48,29848,103.638,14.752,48,140,198,521,460,90,192
49,29848,103.648,14.749,48,140,198,521,460,90,192
50,29848,102.026,13.840,47,135,198,521,460,90,192
51,29848,100.340,13.255,49,131,198,521,460,90,192
52,29848,97.975,12.495,47,125,198,521,460,90,192
53,29848,95.685,11.560,48,121,198,521,460,90,192
54,29848,92.905,10.686,44,117,198,521,460,90,192
55,29848,89.908,10.005,44,116,198,521,460,90,192
56,29848,87.577,9.603,41,110,198,521,460,90,192
57,29848,87.589,9.603,41,111,198,521,460,90,192
58,29848,85.197,9.165,40,104,198,521,460,90,192
59,29848,82.966,8.374,38,102,198,521,460,90,192
60,29848,81.425,8.409,38,101,198,521,460,90,192
61,29848,80.068,8.064,38,102,198,521,460,90,192
62,29848,79.388,8.164,38,103,198,521,460,90,192
63,29848,77.536,8.159,38,103,198,521,460,90,192
64,29848,77.541,8.156,38,103,198,521,460,90,192
65,29848,76.695,8.214,38,102,198,521,460,90,192
66,29848,77.513,8.118,38,102,198,521,460,90,192
67,29848,86.695,10.674,45,117,198,521,460,90,192
68,29848,99.513,16.166,49,146,198,521,460,90,192
69,29848,108.874,17.534,48,154,198,521,460,90,192
70,29848,114.660,18.954,48,156,198,521,460,90,192
71,29848,115.936,19.865,49,157,198,521,460,90,192
72,29848,115.933,19.868,49,157,198,521,460,90,192
73,29848,109.213,19.108,49,152,198,521,460,90,192
74,29848,105.666,18.340,47,152,198,521,460,90,192
75,29848,103.416,17.233,46,146,198,521,460,90,192
76,29848,102.008,16.617,44,145,198,521,460,90,192
77,29848,100.709,15.946,44,140,198,521,460,90,192
78,29848,99.510,15.179,44,135,198,521,460,90,192
79,29848,98.255,14.439,44,133,198,521,460,90,192
80,29848,98.257,14.438,44,133,198,521,460,90,192
81,29848,96.547,13.466,45,131,198,521,460,90,192
82,29848,94.651,12.750,44,129,198,521,460,90,192
83,29848,92.691,11.994,44,121,198,521,460,90,192
84,29848,90.675,11.086,40,119,198,521,460,90,192
85,29848,88.298,10.512,39,115,198,521,460,90,192
86,29848,85.797,9.783,39,113,198,521,460,90,192
87,29848,85.790,9.779,39,114,198,521,460,90,192
88,29848,83.624,9.414,38,110,198,521,460,90,192
89,29848,82.064,9.236,39,107,198,521,460,90,192
90,29848,80.714,9.193,43,108,198,521,460,90,192
91,29848,79.216,8.894,36,108,198,521,460,90,192
92,29848,78.287,8.681,37,103,198,521,460,90,192
93,29848,77.819,8.653,38,102,198,521,460,90,192
94,29848,77.980,8.658,38,102,198,521,460,90,192
95,29848,77.976,8.655,38,102,198,521,460,90,192
96,29848,78.228,8.769,39,103,198,521,460,90,192
97,29848,78.723,9.006,40,105,198,521,460,90,192
98,29848,88.406,11.369,46,120,198,521,460,90,192
99,29848,101.457,16.334,49,140,198,521,460,90,192
100,29848,108.204,18.164,51,157,198,521,460,90,192
101,29848,112.876,18.384,51,162,198,521,460,90,192
102,29848,113.999,19.402,49,161,198,521,460,90,192
103,29848,113.988,19.404,49,161,198,521,460,90,192
104,29848,108.600,18.468,51,149,198,521,460,90,192
