 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,20.667,5.144,9,35,198,521,460,90,192
2,29848,20.448,4.952,10,35,198,521,460,90,192
3,29848,19.938,4.944,9,35,198,521,460,90,192
4,29848,19.624,4.973,9,34,198,521,460,90,192
5,29848,18.985,4.904,9,33,198,521,460,90,192
6,29848,18.993,4.921,9,33,198,521,460,90,192
7,29848,18.709,4.748,9,33,198,521,460,90,192
8,29848,18.358,4.703,9,33,198,521,460,90,192
9,29848,18.198,4.689,9,33,198,521,460,90,192
10,29848,18.014,4.682,9,35,198,521,460,90,192
11,29848,18.057,4.741,9,34,198,521,460,90,192
12,29848,18.112,4.737,9,33,198,521,460,90,192
13,29848,18.119,4.736,9,34,198,521,460,90,192
14,29848,18.519,5.003,9,34,198,521,460,90,192
15,29848,19.745,4.917,9,33,198,521,460,90,192
16,29848,21.581,5.714,10,38,198,521,460,90,192
17,29848,22.115,6.099,10,40,198,521,460,90,192
18,29848,22.770,5.888,11,40,198,521,460,90,192
19,29848,22.782,5.997,11,41,198,521,460,90,192
20,29848,22.630,6.013,11,40,198,521,460,90,192
21,29848,22.645,6.001,10,40,198,521,460,90,192
22,29848,22.476,5.799,10,41,198,521,460,90,192
23,29848,21.805,5.830,9,39,198,521,460,90,192
24,29848,21.381,5.529,9,38,198,521,460,90,192
25,29848,20.696,5.530,9,36,198,521,460,90,192
26,29848,20.231,5.416,10,35,198,521,460,90,192
27,29848,19.759,5.375,10,35,198,521,460,90,192
28,29848,19.753,5.366,10,35,198,521,460,90,192
29,29848,19.188,5.409,9,35,198,521,460,90,192
30,29848,18.710,5.283,9,34,198,521,460,90,192
31,29848,18.495,5.211,9,33,198,521,460,90,192
32,29848,18.290,5.205,9,34,198,521,460,90,192
33,29848,17.997,5.076,8,34,198,521,460,90,192
34,29848,17.531,4.972,8,34,198,521,460,90,192
35,29848,17.333,4.882,9,33,198,521,460,90,192
36,29848,17.337,4.881,9,33,198,521,460,90,192
37,29848,17.440,4.940,9,33,198,521,460,90,192
38,29848,17.352,4.999,8,34,198,521,460,90,192
39,29848,17.607,5.185,9,35,198,521,460,90,192
40,29848,17.662,5.273,9,35,198,521,460,90,192
41,29848,18.014,5.314,8,35,198,521,460,90,192
42,29848,18.710,5.357,9,38,198,521,460,90,192
43,29848,19.969,5.667,8,34,198,521,460,90,192
44,29848,19.972,5.670,8,34,198,521,460,90,192
45,29848,21.493,6.257,8,38,198,521,460,90,192
46,29848,22.012,6.401,8,39,198,521,460,90,192
47,29848,22.275,6.460,10,40,198,521,460,90,192
48,29848,22.624,6.528,10,40,198,521,460,90,192
49,29848,22.643,6.411,10,40,198,521,460,90,192
50,29848,22.728,6.310,10,40,198,521,460,90,192
51,29848,22.736,6.313,10,40,198,521,460,90,192
52,29848,22.226,6.129,9,39,198,521,460,90,192
53,29848,21.795,5.885,9,39,198,521,460,90,192
54,29848,21.590,5.807,9,39,198,521,460,90,192
55,29848,21.258,5.611,9,39,198,521,460,90,192
56,29848,20.970,5.382,9,39,198,521,460,90,192
57,29848,20.704,5.231,9,38,198,521,460,90,192
58,29848,20.378,5.121,9,37,198,521,460,90,192
59,29848,20.382,5.120,9,37,198,521,460,90,192
60,29848,20.087,4.993,8,36,198,521,460,90,192
61,29848,19.681,4.949,9,34,198,521,460,90,192
62,29848,19.360,4.781,9,34,198,521,460,90,192
63,29848,18.946,4.800,8,34,198,521,460,90,192
64,29848,18.773,4.663,9,32,198,521,460,90,192
65,29848,18.167,4.497,9,32,198,521,460,90,192
66,29848,18.169,4.504,9,32,198,521,460,90,192
67,29848,18.135,4.520,9,32,198,521,460,90,192
68,29848,18.054,4.606,8,32,198,521,460,90,192
69,29848,18.063,4.605,8,33,198,521,460,90,192
70,29848,18.013,4.499,7,31,198,521,460,90,192
71,29848,18.245,4.475,8,31,198,521,460,90,192
72,29848,19.354,4.566,9,31,198,521,460,90,192
73,29848,21.162,5.235,10,35,198,521,460,90,192
74,29848,21.154,5.233,10,35,198,521,460,90,192
75,29848,21.775,5.773,10,35,198,521,460,90,192
76,29848,21.925,5.887,9,35,198,521,460,90,192
77,29848,22.162,6.019,8,36,198,521,460,90,192
78,29848,22.358,6.085,8,36,198,521,460,90,192
79,29848,22.317,5.902,9,35,198,521,460,90,192
80,29848,21.787,5.501,9,35,198,521,460,90,192
81,29848,21.782,5.498,9,35,198,521,460,90,192
82,29848,21.248,5.387,9,33,198,521,460,90,192
83,29848,20.833,5.146,8,31,198,521,460,90,192
84,29848,20.370,4.861,9,31,198,521,460,90,192
85,29848,19.903,4.714,9,29,198,521,460,90,192
86,29848,19.596,4.756,9,29,198,521,460,90,192
87,29848,19.183,4.764,9,28,198,521,460,90,192
88,29848,18.896,4.603,9,28,198,521,460,90,192
89,29848,18.896,4.603,9,28,198,521,460,90,192
90,29848,18.581,4.549,9,28,198,521,460,90,192
91,29848,18.446,4.569,9,28,198,521,460,90,192
92,29848,18.158,4.363,9,27,198,521,460,90,192
93,29848,18.126,4.358,9,27,198,521,460,90,192
94,29848,17.770,4.331,8,28,198,521,460,90,192
95,29848,17.533,4.178,8,28,198,521,460,90,192
96,29848,17.311,4.141,8,28,198,521,460,90,192
97,29848,17.313,4.142,8,28,198,521,460,90,192
98,29848,17.587,4.337,8,30,198,521,460,90,192
99,29848,17.678,4.412,8,32,198,521,460,90,192
100,29848,17.871,4.417,9,32,198,521,460,90,192
101,29848,18.644,4.303,10,32,198,521,460,90,192
102,29848,20.539,5.025,10,33,198,521,460,90,192
103,29848,21.536,5.513,9,37,198,521,460,90,192
104,29848,21.532,5.511,9,37,198,521,460,90,192
105,29848,22.280,5.702,10,37,198,521,460,90,192
106,29848,22.387,5.746,10,38,198,521,460,90,192
107,29848,22.498,5.749,10,39,198,521,460,90,192
108,29848,22.549,5.699,10,39,198,521,460,90,192
109,29848,22.421,5.617,12,39,198,521,460,90,192
110,29848,22.092,5.301,12,39,198,521,460,90,192
111,29848,21.178,5.203,11,38,198,521,460,90,192
112,29848,21.178,5.199,11,38,198,521,460,90,192
113,29848,20.789,5.013,11,38,198,521,460,90,192
114,29848,20.370,5.026,10,37,198,521,460,90,192
115,29848,19.966,4.994,10,37,198,521,460,90,192
116,29848,19.575,4.788,10,35,198,521,460,90,192
117,29848,19.359,4.608,10,35,198,521,460,90,192
118,29848,18.771,4.399,9,33,198,521,460,90,192
119,29848,18.773,4.401,9,33,198,521,460,90,192
120,29848,18.370,4.311,10,33,198,521,460,90,192
121,29848,17.782,4.117,10,33,198,521,460,90,192
122,29848,17.503,3.926,10,32,198,521,460,90,192
123,29848,17.304,3.849,10,32,198,521,460,90,192
124,29848,17.278,3.857,9,32,198,521,460,90,192
125,29848,17.409,3.950,9,32,198,521,460,90,192
126,29848,17.426,3.986,9,32,198,521,460,90,192
127,29848,17.427,3.989,9,32,198,521,460,90,192
128,29848,17.558,3.963,9,32,198,521,460,90,192
129,29848,17.727,4.021,9,33,198,521,460,90,192
130,29848,17.884,3.969,9,32,198,521,460,90,192
131,29848,18.351,3.876,10,32,198,521,460,90,192
132,29848,19.850,4.351,10,32,198,521,460,90,192
133,29848,20.975,4.701,10,35,198,521,460,90,192
134,29848,20.975,4.700,10,35,198,521,460,90,192
135,29848,21.396,5.041,10,38,198,521,460,90,192
136,29848,21.690,4.970,10,37,198,521,460,90,192
137,29848,21.849,5.099,10,38,198,521,460,90,192
138,29848,21.916,5.114,10,34,198,521,460,90,192
139,29848,21.909,4.796,10,34,198,521,460,90,192
140,29848,21.601,4.612,10,35,198,521,460,90,192
141,29848,20.940,4.586,10,34,198,521,460,90,192
142,29848,20.941,4.587,10,34,198,521,460,90,192
143,29848,20.569,4.307,10,32,198,521,460,90,192
144,29848,20.462,4.201,10,31,198,521,460,90,192
145,29848,20.017,4.028,10,32,198,521,460,90,192
146,29848,19.373,3.674,10,31,198,521,460,90,192
147,29848,18.785,3.674,10,30,198,521,460,90,192
148,29848,18.357,3.529,9,30,198,521,460,90,192
149,29848,18.002,3.407,9,30,198,521,460,90,192
150,29848,18.001,3.409,9,30,198,521,460,90,192
151,29848,17.758,3.402,9,30,198,521,460,90,192
152,29848,17.672,3.444,9,30,198,521,460,90,192
153,29848,17.700,3.448,9,29,198,521,460,90,192
154,29848,17.915,3.514,8,29,198,521,460,90,192
155,29848,18.175,3.528,9,30,198,521,460,90,192
156,29848,18.275,3.491,9,30,198,521,460,90,192
157,29848,18.275,3.491,9,30,198,521,460,90,192
158,29848,18.465,3.521,9,30,198,521,460,90,192
159,29848,18.963,3.360,9,31,198,521,460,90,192
160,29848,19.647,3.469,10,32,198,521,460,90,192
161,29848,20.652,3.668,9,32,198,521,460,90,192
162,29848,22.638,4.163,11,35,198,521,460,90,192
163,29848,23.505,4.658,11,36,198,521,460,90,192
164,29848,23.793,4.632,11,36,198,521,460,90,192
165,29848,23.798,4.631,11,36,198,521,460,90,192
166,29848,24.141,4.743,11,38,198,521,460,90,192
167,29848,24.213,4.717,11,39,198,521,460,90,192
168,29848,23.723,4.431,11,39,198,521,460,90,192
169,29848,23.132,4.197,10,35,198,521,460,90,192
170,29848,22.308,3.848,11,32,198,521,460,90,192
171,29848,21.586,3.869,10,32,198,521,460,90,192
172,29848,21.585,3.873,10,32,198,521,460,90,192
173,29848,21.053,3.724,10,32,198,521,460,90,192
174,29848,20.870,3.529,10,31,198,521,460,90,192
175,29848,20.354,3.382,10,31,198,521,460,90,192
176,29848,19.568,3.038,10,30,198,521,460,90,192
177,29848,18.835,2.964,11,30,198,521,460,90,192
178,29848,18.656,2.916,11,30,198,521,460,90,192
179,29848,18.409,2.898,10,30,198,521,460,90,192
180,29848,18.409,2.899,10,30,198,521,460,90,192
181,29848,18.353,2.876,10,29,198,521,460,90,192
182,29848,18.332,2.909,10,29,198,521,460,90,192
183,29848,18.402,2.851,9,29,198,521,460,90,192
184,29848,18.570,3.024,10,30,198,521,460,90,192
185,29848,18.877,3.052,10,30,198,521,460,90,192
186,29848,19.500,3.274,10,31,198,521,460,90,192
187,29848,19.506,3.275,10,31,198,521,460,90,192
188,29848,19.952,3.561,10,32,198,521,460,90,192
189,29848,21.906,3.571,11,33,198,521,460,90,192
190,29848,23.633,4.349,12,36,198,521,460,90,192
191,29848,24.213,4.341,12,38,198,521,460,90,192
192,29848,24.615,4.384,12,36,198,521,460,90,192
193,29848,24.629,4.489,12,36,198,521,460,90,192
194,29848,24.508,4.438,12,38,198,521,460,90,192
195,29848,24.510,4.439,12,38,198,521,460,90,192
196,29848,23.641,3.985,12,35,198,521,460,90,192
197,29848,22.944,3.995,12,36,198,521,460,90,192
198,29848,21.991,3.832,11,33,198,521,460,90,192
199,29848,21.415,3.624,10,32,198,521,460,90,192
200,29848,20.773,3.657,10,32,198,521,460,90,192
201,29848,20.468,3.787,10,32,198,521,460,90,192
202,29848,19.668,3.736,10,33,198,521,460,90,192
203,29848,19.668,3.738,10,33,198,521,460,90,192
204,29848,19.177,3.393,10,31,198,521,460,90,192
205,29848,18.627,3.290,10,30,198,521,460,90,192
206,29848,17.953,3.228,11,27,198,521,460,90,192
207,29848,18.062,3.196,10,27,198,521,460,90,192
208,29848,17.806,3.193,11,27,198,521,460,90,192
209,29848,17.809,3.221,11,29,198,521,460,90,192
210,29848,17.809,3.222,10,29,198,521,460,90,192
211,29848,17.975,3.198,10,29,198,521,460,90,192
212,29848,18.174,3.286,10,29,198,521,460,90,192
213,29848,18.521,3.349,10,29,198,521,460,90,192
214,29848,18.938,3.564,10,30,198,521,460,90,192
215,29848,19.758,3.743,10,31,198,521,460,90,192
216,29848,20.197,3.597,11,31,198,521,460,90,192
217,29848,21.701,3.774,11,33,198,521,460,90,192
218,29848,21.705,3.774,11,33,198,521,460,90,192
219,29848,23.334,4.304,11,35,198,521,460,90,192
220,29848,23.888,4.569,10,37,198,521,460,90,192
221,29848,24.282,4.625,11,36,198,521,460,90,192
222,29848,24.291,4.628,12,36,198,521,460,90,192
223,29848,24.018,4.455,13,38,198,521,460,90,192
224,29848,23.268,4.056,12,36,198,521,460,90,192
225,29848,23.269,4.060,12,36,198,521,460,90,192
226,29848,22.519,3.895,12,32,198,521,460,90,192
227,29848,21.847,3.651,12,32,198,521,460,90,192
228,29848,21.424,3.632,11,32,198,521,460,90,192
229,29848,20.911,3.574,10,32,198,521,460,90,192
230,29848,20.243,3.657,10,30,198,521,460,90,192
231,29848,19.402,3.250,11,29,198,521,460,90,192
232,29848,19.053,2.971,11,27,198,521,460,90,192
233,29848,19.056,2.970,11,27,198,521,460,90,192
234,29848,18.750,2.977,10,27,198,521,460,90,192
235,29848,18.534,2.872,10,27,198,521,460,90,192
236,29848,18.312,3.000,10,27,198,521,460,90,192
237,29848,18.140,3.095,10,29,198,521,460,90,192
238,29848,18.160,3.055,9,29,198,521,460,90,192
239,29848,18.189,3.094,9,29,198,521,460,90,192
240,29848,18.189,3.098,9,29,198,521,460,90,192
241,29848,18.301,3.124,9,29,198,521,460,90,192
242,29848,18.822,3.379,9,29,198,521,460,90,192
243,29848,19.249,3.343,9,30,198,521,460,90,192
244,29848,19.866,3.852,9,31,198,521,460,90,192
245,29848,21.809,3.529,10,31,198,521,460,90,192
246,29848,23.640,3.647,12,34,198,521,460,90,192
247,29848,24.179,4.021,13,37,198,521,460,90,192
248,29848,24.181,4.018,13,37,198,521,460,90,192
249,29848,24.488,4.050,13,38,198,521,460,90,192
250,29848,24.577,4.056,13,38,198,521,460,90,192
251,29848,24.376,3.907,13,36,198,521,460,90,192
252,29848,23.511,3.675,12,33,198,521,460,90,192
253,29848,22.742,3.564,12,32,198,521,460,90,192
254,29848,21.836,3.593,11,30,198,521,460,90,192
255,29848,21.318,3.646,9,32,198,521,460,90,192
256,29848,21.319,3.648,8,31,198,521,460,90,192
257,29848,21.042,3.508,10,30,198,521,460,90,192
258,29848,20.547,3.558,10,30,198,521,460,90,192
259,29848,19.885,3.287,10,28,198,521,460,90,192
260,29848,18.941,2.811,10,26,198,521,460,90,192
261,29848,18.586,2.502,10,29,198,521,460,90,192
262,29848,18.190,2.740,9,29,198,521,460,90,192
263,29848,18.189,2.739,10,29,198,521,460,90,192
264,29848,17.954,2.733,10,29,198,521,460,90,192
265,29848,17.806,2.797,10,29,198,521,460,90,192
266,29848,17.774,2.808,10,26,198,521,460,90,192
267,29848,18.017,2.902,10,26,198,521,460,90,192
268,29848,17.847,2.803,10,29,198,521,460,90,192
269,29848,17.907,2.838,10,29,198,521,460,90,192
270,29848,18.611,2.893,10,29,198,521,460,90,192
271,29848,18.610,2.889,11,29,198,521,460,90,192
272,29848,19.126,2.952,11,29,198,521,460,90,192
273,29848,20.818,3.354,10,31,198,521,460,90,192
274,29848,22.525,3.525,12,33,198,521,460,90,192
275,29848,23.236,3.758,13,32,198,521,460,90,192
276,29848,23.599,3.768,12,33,198,521,460,90,192
277,29848,23.580,3.789,12,34,198,521,460,90,192
278,29848,23.582,3.790,12,34,198,521,460,90,192
279,29848,22.859,3.590,13,33,198,521,460,90,192
280,29848,22.054,3.449,11,31,198,521,460,90,192
281,29848,21.390,3.513,11,30,198,521,460,90,192
282,29848,20.888,3.438,9,31,198,521,460,90,192
283,29848,20.684,3.629,9,31,198,521,460,90,192
284,29848,20.097,3.349,10,28,198,521,460,90,192
285,29848,19.280,2.989,10,27,198,521,460,90,192
286,29848,19.278,2.989,10,27,198,521,460,90,192
287,29848,18.622,2.811,10,27,198,521,460,90,192
288,29848,18.156,2.638,11,26,198,521,460,90,192
289,29848,17.722,2.519,10,26,198,521,460,90,192
290,29848,17.419,2.690,9,27,198,521,460,90,192
291,29848,17.227,2.652,9,27,198,521,460,90,192
292,29848,17.179,2.598,10,27,198,521,460,90,192
293,29848,17.180,2.598,10,27,198,521,460,90,192
294,29848,17.177,2.648,10,27,198,521,460,90,192
295,29848,17.255,2.698,10,26,198,521,460,90,192
296,29848,17.366,2.702,10,25,198,521,460,90,192
297,29848,17.569,2.687,10,25,198,521,460,90,192
298,29848,17.829,2.783,10,26,198,521,460,90,192
299,29848,18.055,2.843,10,27,198,521,460,90,192
300,29848,18.277,2.807,10,25,198,521,460,90,192
301,29848,18.277,2.804,10,25,198,521,460,90,192
302,29848,18.454,2.830,10,26,198,521,460,90,192
303,29848,18.827,3.014,10,26,198,521,460,90,192
304,29848,19.078,3.128,10,26,198,521,460,90,192
305,29848,20.084,3.458,10,30,198,521,460,90,192
306,29848,21.523,3.498,11,28,198,521,460,90,192
307,29848,22.419,3.708,11,33,198,521,460,90,192
308,29848,22.671,3.786,11,33,198,521,460,90,192
309,29848,22.673,3.785,11,33,198,521,460,90,192
310,29848,22.647,3.870,11,33,198,521,460,90,192
311,29848,22.055,3.735,11,32,198,521,460,90,192
312,29848,21.302,3.617,11,28,198,521,460,90,192
313,29848,20.727,3.403,10,27,198,521,460,90,192
314,29848,20.008,3.324,9,27,198,521,460,90,192
315,29848,19.899,3.424,9,27,198,521,460,90,192
316,29848,19.899,3.425,9,27,198,521,460,90,192
317,29848,19.149,3.188,9,27,198,521,460,90,192
318,29848,18.480,3.127,9,26,198,521,460,90,192
319,29848,18.104,2.894,10,27,198,521,460,90,192
320,29848,17.753,2.613,10,25,198,521,460,90,192
321,29848,17.329,2.594,10,25,198,521,460,90,192
322,29848,16.921,2.531,9,24,198,521,460,90,192
323,29848,16.888,2.547,9,24,198,521,460,90,192
324,29848,16.888,2.547,9,24,198,521,460,90,192
325,29848,17.045,2.576,9,24,198,521,460,90,192
326,29848,16.988,2.604,9,24,198,521,460,90,192
327,29848,16.981,2.627,9,24,198,521,460,90,192
328,29848,17.098,2.686,9,24,198,521,460,90,192
329,29848,17.615,2.721,9,25,198,521,460,90,192
330,29848,17.801,2.617,9,24,198,521,460,90,192
331,29848,17.801,2.618,10,24,198,521,460,90,192
332,29848,17.903,2.673,10,24,198,521,460,90,192
333,29848,18.079,2.722,10,25,198,521,460,90,192
334,29848,18.403,2.772,10,25,198,521,460,90,192
335,29848,18.578,2.806,10,25,198,521,460,90,192
336,29848,18.714,2.656,9,25,198,521,460,90,192
337,29848,20.083,2.745,11,26,198,521,460,90,192
338,29848,21.815,3.092,11,30,198,521,460,90,192
339,29848,21.814,3.092,11,30,198,521,460,90,192
340,29848,22.626,3.224,11,31,198,521,460,90,192
341,29848,23.073,3.155,12,32,198,521,460,90,192
342,29848,23.355,3.207,13,31,198,521,460,90,192
343,29848,23.010,3.082,13,28,198,521,460,90,192
344,29848,22.129,2.956,12,27,198,521,460,90,192
345,29848,21.274,3.024,10,26,198,521,460,90,192
346,29848,21.278,3.020,10,26,198,521,460,90,192
347,29848,20.731,2.895,10,28,198,521,460,90,192
348,29848,20.168,3.109,9,28,198,521,460,90,192
349,29848,19.277,2.683,9,25,198,521,460,90,192
350,29848,18.418,2.643,10,25,198,521,460,90,192
351,29848,18.154,2.579,10,25,198,521,460,90,192
352,29848,17.945,2.261,11,23,198,521,460,90,192
353,29848,17.639,2.213,10,24,198,521,460,90,192
354,29848,17.638,2.210,10,24,198,521,460,90,192
355,29848,17.329,2.298,9,23,198,521,460,90,192
356,29848,17.181,2.281,9,23,198,521,460,90,192
357,29848,17.216,2.318,9,23,198,521,460,90,192
358,29848,17.235,2.351,9,23,198,521,460,90,192
359,29848,17.365,2.387,10,23,198,521,460,90,192
360,29848,17.378,2.373,10,24,198,521,460,90,192
361,29848,17.566,2.453,10,26,198,521,460,90,192
362,29848,17.567,2.453,10,26,198,521,460,90,192
363,29848,18.065,2.334,10,24,198,521,460,90,192
364,29848,18.302,2.404,9,24,198,521,460,90,192
365,29848,18.574,2.511,9,25,198,521,460,90,192
366,29848,20.396,2.774,11,26,198,521,460,90,192
367,29848,22.256,2.831,12,32,198,521,460,90,192
368,29848,23.105,3.179,13,33,198,521,460,90,192
369,29848,23.104,3.179,13,33,198,521,460,90,192
370,29848,23.511,3.131,13,32,198,521,460,90,192
371,29848,23.698,3.050,13,32,198,521,460,90,192
372,29848,23.437,3.229,12,32,198,521,460,90,192
373,29848,22.775,3.268,11,31,198,521,460,90,192
374,29848,21.802,3.143,11,28,198,521,460,90,192
375,29848,20.999,3.278,11,27,198,521,460,90,192
376,29848,20.715,3.411,10,28,198,521,460,90,192
377,29848,20.713,3.411,10,27,198,521,460,90,192
378,29848,20.087,3.170,9,26,198,521,460,90,192
379,29848,19.162,3.157,10,26,198,521,460,90,192
380,29848,18.360,2.799,9,25,198,521,460,90,192
381,29848,18.209,2.709,9,24,198,521,460,90,192
382,29848,17.736,2.587,10,24,198,521,460,90,192
383,29848,17.382,2.460,10,25,198,521,460,90,192
384,29848,17.379,2.462,10,25,198,521,460,90,192
385,29848,17.103,2.505,10,24,198,521,460,90,192
386,29848,16.918,2.408,10,24,198,521,460,90,192
387,29848,16.922,2.401,10,24,198,521,460,90,192
388,29848,16.978,2.479,10,24,198,521,460,90,192
389,29848,17.097,2.465,10,24,198,521,460,90,192
390,29848,17.137,2.516,10,24,198,521,460,90,192
391,29848,17.635,2.610,9,24,198,521,460,90,192
392,29848,17.636,2.613,9,24,198,521,460,90,192
393,29848,18.158,2.469,10,25,198,521,460,90,192
394,29848,18.597,2.711,9,25,198,521,460,90,192
395,29848,20.252,3.107,10,27,198,521,460,90,192
396,29848,22.323,3.048,12,31,198,521,460,90,192
397,29848,23.192,3.375,12,33,198,521,460,90,192
398,29848,23.435,3.411,12,32,198,521,460,90,192
399,29848,23.436,3.411,12,33,198,521,460,90,192
400,29848,23.561,3.497,12,33,198,521,460,90,192
401,29848,23.460,3.397,12,32,198,521,460,90,192
402,29848,22.609,3.226,12,29,198,521,460,90,192
403,29848,22.005,3.023,11,27,198,521,460,90,192
404,29848,20.960,3.334,9,28,198,521,460,90,192
405,29848,20.359,3.366,9,28,198,521,460,90,192
406,29848,19.893,3.248,9,27,198,521,460,90,192
407,29848,19.890,3.244,9,27,198,521,460,90,192
408,29848,19.523,2.837,10,26,198,521,460,90,192
409,29848,18.585,2.583,10,25,198,521,460,90,192
410,29848,18.212,2.449,10,24,198,521,460,90,192
411,29848,17.618,2.356,10,23,198,521,460,90,192
412,29848,17.369,2.460,10,24,198,521,460,90,192
413,29848,17.065,2.450,9,25,198,521,460,90,192
414,29848,17.062,2.341,9,23,198,521,460,90,192
415,29848,17.062,2.343,9,23,198,521,460,90,192
416,29848,17.111,2.339,9,23,198,521,460,90,192
417,29848,17.082,2.331,8,23,198,521,460,90,192
418,29848,17.082,2.334,8,23,198,521,460,90,192
419,29848,17.166,2.335,8,24,198,521,460,90,192
420,29848,17.525,2.360,10,24,198,521,460,90,192
421,29848,18.083,2.506,10,24,198,521,460,90,192
422,29848,18.083,2.507,10,25,198,521,460,90,192
423,29848,18.553,2.380,9,25,198,521,460,90,192
424,29848,18.846,2.164,10,25,198,521,460,90,192
425,29848,21.002,2.534,11,26,198,521,460,90,192
426,29848,22.423,2.405,13,28,198,521,460,90,192
427,29848,23.340,2.423,13,30,198,521,460,90,192
428,29848,23.621,2.420,15,30,198,521,460,90,192
429,29848,23.823,2.371,13,30,198,521,460,90,192
430,29848,23.823,2.370,15,30,198,521,460,90,192
431,29848,23.940,2.395,15,32,198,521,460,90,192
432,29848,23.833,2.326,15,31,198,521,460,90,192
433,29848,23.075,2.321,13,28,198,521,460,90,192
434,29848,22.325,2.163,13,28,198,521,460,90,192
435,29848,21.830,2.160,13,27,198,521,460,90,192
436,29848,21.470,2.305,13,27,198,521,460,90,192
437,29848,21.470,2.308,13,27,198,521,460,90,192
