 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,99.590,9.893,40,121,198,521,460,90,192
2,29848,99.263,9.864,40,120,198,521,460,90,192
3,29848,98.329,9.498,40,119,198,521,460,90,192
4,29848,97.341,9.041,39,117,198,521,460,90,192
5,29848,96.652,8.878,39,116,198,521,460,90,192
6,29848,95.425,8.318,38,114,198,521,460,90,192
7,29848,94.328,8.030,38,112,198,521,460,90,192
8,29848,93.873,7.921,37,112,198,521,460,90,192
9,29848,92.745,7.699,37,110,198,521,460,90,192
10,29848,91.843,7.402,35,110,198,521,460,90,192
11,29848,91.742,7.491,35,111,198,521,460,90,192
12,29848,91.667,7.456,36,111,198,521,460,90,192
13,29848,91.414,7.664,36,107,198,521,460,90,192
14,29848,94.129,8.396,37,112,198,521,460,90,192
15,29848,98.464,9.198,38,120,198,521,460,90,192
16,29848,99.484,9.443,42,123,198,521,460,90,192
17,29848,99.116,9.257,42,121,198,521,460,90,192
18,29848,98.334,9.146,42,121,198,521,460,90,192
19,29848,98.109,9.089,41,123,198,521,460,90,192
20,29848,97.822,9.043,40,120,198,521,460,90,192
21,29848,97.892,9.238,40,122,198,521,460,90,192
22,29848,97.980,9.266,40,122,198,521,460,90,192
23,29848,98.084,9.452,40,121,198,521,460,90,192
24,29848,98.573,9.667,40,123,198,521,460,90,192
25,29848,98.742,9.771,40,123,198,521,460,90,192
26,29848,98.714,9.734,41,121,198,521,460,90,192
27,29848,98.270,9.772,39,120,198,521,460,90,192
28,29848,98.205,9.668,39,120,198,521,460,90,192
29,29848,98.043,9.588,39,118,198,521,460,90,192
30,29848,97.494,9.315,40,118,198,521,460,90,192
31,29848,96.401,8.802,40,115,198,521,460,90,192
32,29848,95.453,8.387,39,114,198,521,460,90,192
33,29848,94.881,8.183,39,113,198,521,460,90,192
34,29848,93.101,7.589,38,111,198,521,460,90,192
35,29848,93.097,7.585,39,111,198,521,460,90,192
36,29848,91.549,7.274,38,109,198,521,460,90,192
37,29848,90.520,6.983,38,106,198,521,460,90,192
38,29848,89.378,6.870,38,104,198,521,460,90,192
39,29848,89.490,7.075,39,106,198,521,460,90,192
40,29848,89.541,6.865,39,105,198,521,460,90,192
41,29848,88.518,6.912,39,105,198,521,460,90,192
42,29848,89.575,7.383,39,105,198,521,460,90,192
43,29848,94.791,8.883,37,117,198,521,460,90,192
44,29848,97.829,9.000,39,120,198,521,460,90,192
45,29848,97.890,9.160,40,119,198,521,460,90,192
46,29848,97.366,9.004,40,117,198,521,460,90,192
47,29848,96.808,9.019,39,121,198,521,460,90,192
48,29848,97.014,9.039,39,119,198,521,460,90,192
49,29848,97.127,9.291,39,118,198,521,460,90,192
50,29848,97.201,9.423,39,118,198,521,460,90,192
51,29848,97.177,9.446,39,120,198,521,460,90,192
52,29848,97.776,9.668,39,121,198,521,460,90,192
53,29848,97.823,9.676,39,121,198,521,460,90,192
54,29848,98.111,9.837,40,121,198,521,460,90,192
55,29848,98.048,9.910,40,121,198,521,460,90,192
56,29848,97.899,10.023,39,121,198,521,460,90,192
57,29848,97.359,9.809,39,118,198,521,460,90,192
58,29848,96.832,9.642,39,118,198,521,460,90,192
59,29848,96.431,9.219,39,118,198,521,460,90,192
60,29848,96.088,9.127,39,116,198,521,460,90,192
61,29848,95.452,8.773,39,114,198,521,460,90,192
62,29848,94.315,8.181,40,113,198,521,460,90,192
63,29848,93.535,7.993,39,110,198,521,460,90,192
64,29848,92.123,7.546,38,109,198,521,460,90,192
65,29848,91.402,7.361,39,107,198,521,460,90,192
66,29848,91.207,7.127,39,107,198,521,460,90,192
67,29848,90.419,7.183,39,106,198,521,460,90,192
68,29848,89.909,6.993,38,105,198,521,460,90,192
69,29848,89.050,7.253,38,105,198,521,460,90,192
70,29848,90.194,7.636,38,107,198,521,460,90,192
71,29848,94.842,8.799,39,116,198,521,460,90,192
72,29848,96.793,8.920,39,119,198,521,460,90,192
73,29848,97.229,9.004,39,120,198,521,460,90,192
74,29848,96.398,8.886,39,117,198,521,460,90,192
75,29848,95.680,8.541,39,117,198,521,460,90,192
76,29848,95.761,8.675,40,117,198,521,460,90,192
77,29848,96.668,9.483,40,121,198,521,460,90,192
78,29848,97.052,9.576,40,120,198,521,460,90,192
79,29848,96.991,9.574,40,120,198,521,460,90,192
80,29848,97.132,9.572,40,120,198,521,460,90,192
81,29848,97.354,9.785,40,120,198,521,460,90,192
82,29848,97.268,9.725,40,120,198,521,460,90,192
83,29848,97.290,9.651,40,120,198,521,460,90,192
84,29848,96.693,9.534,40,118,198,521,460,90,192
85,29848,96.680,9.456,40,118,198,521,460,90,192
86,29848,96.763,9.462,40,117,198,521,460,90,192
87,29848,96.158,9.094,39,116,198,521,460,90,192
88,29848,95.523,8.781,40,115,198,521,460,90,192
89,29848,94.353,8.300,40,112,198,521,460,90,192
90,29848,97.015,8.548,40,116,198,521,460,90,192
91,29848,96.507,8.244,39,113,198,521,460,90,192
92,29848,99.537,8.544,40,118,198,521,460,90,192
93,29848,98.605,8.467,40,117,198,521,460,90,192
94,29848,97.600,8.222,42,115,198,521,460,90,192
95,29848,96.827,8.052,41,115,198,521,460,90,192
96,29848,96.196,8.224,40,113,198,521,460,90,192
97,29848,94.979,8.122,40,112,198,521,460,90,192
98,29848,99.246,9.534,41,118,198,521,460,90,192
99,29848,104.051,10.361,42,129,198,521,460,90,192
100,29848,105.351,10.533,43,129,198,521,460,90,192
101,29848,104.456,10.183,44,128,198,521,460,90,192
102,29848,102.890,9.688,44,126,198,521,460,90,192
103,29848,102.484,9.717,43,127,198,521,460,90,192
104,29848,103.384,10.225,42,127,198,521,460,90,192
105,29848,104.447,10.734,41,127,198,521,460,90,192
106,29848,105.272,10.947,42,128,198,521,460,90,192
107,29848,105.276,10.942,42,128,198,521,460,90,192
108,29848,105.224,10.589,43,129,198,521,460,90,192
109,29848,104.467,10.626,43,127,198,521,460,90,192
110,29848,103.757,10.665,44,127,198,521,460,90,192
111,29848,103.631,10.495,44,126,198,521,460,90,192
112,29848,104.204,10.639,44,127,198,521,460,90,192
113,29848,104.825,10.766,44,127,198,521,460,90,192
114,29848,104.803,10.805,44,127,198,521,460,90,192
115,29848,104.112,10.639,43,126,198,521,460,90,192
116,29848,103.183,10.045,43,124,198,521,460,90,192
117,29848,102.761,10.019,43,122,198,521,460,90,192
118,29848,102.381,9.838,43,122,198,521,460,90,192
119,29848,101.434,9.513,41,122,198,521,460,90,192
120,29848,100.597,9.151,41,118,198,521,460,90,192
121,29848,99.950,8.722,41,118,198,521,460,90,192
122,29848,99.127,8.541,41,118,198,521,460,90,192
123,29848,97.876,8.459,40,116,198,521,460,90,192
124,29848,96.604,8.103,40,114,198,521,460,90,192
125,29848,96.245,8.127,40,114,198,521,460,90,192
126,29848,95.343,8.161,41,113,198,521,460,90,192
127,29848,95.653,8.216,41,113,198,521,460,90,192
128,29848,101.198,10.060,41,124,198,521,460,90,192
129,29848,104.282,10.005,43,127,198,521,460,90,192
130,29848,104.110,10.026,43,127,198,521,460,90,192
131,29848,103.582,9.887,43,127,198,521,460,90,192
132,29848,102.817,9.847,43,127,198,521,460,90,192
133,29848,102.709,9.902,43,127,198,521,460,90,192
134,29848,103.481,9.992,43,125,198,521,460,90,192
135,29848,104.129,10.541,43,127,198,521,460,90,192
136,29848,104.148,10.561,43,127,198,521,460,90,192
137,29848,104.139,10.475,43,128,198,521,460,90,192
138,29848,105.072,10.769,43,128,198,521,460,90,192
139,29848,105.275,10.901,43,129,198,521,460,90,192
140,29848,105.196,10.829,43,128,198,521,460,90,192
141,29848,104.610,10.746,43,128,198,521,460,90,192
142,29848,104.699,10.771,43,128,198,521,460,90,192
143,29848,104.713,10.789,42,127,198,521,460,90,192
144,29848,104.056,10.494,44,126,198,521,460,90,192
145,29848,103.381,10.112,43,125,198,521,460,90,192
146,29848,102.853,10.064,41,122,198,521,460,90,192
147,29848,102.554,9.598,41,122,198,521,460,90,192
148,29848,101.586,9.337,42,120,198,521,460,90,192
149,29848,100.800,8.910,41,119,198,521,460,90,192
150,29848,99.805,8.442,41,117,198,521,460,90,192
151,29848,98.369,8.091,40,117,198,521,460,90,192
152,29848,97.617,7.772,41,116,198,521,460,90,192
153,29848,97.580,7.726,41,116,198,521,460,90,192
154,29848,97.534,7.777,41,116,198,521,460,90,192
155,29848,96.210,7.675,39,112,198,521,460,90,192
156,29848,97.066,7.913,40,113,198,521,460,90,192
157,29848,101.424,8.789,41,121,198,521,460,90,192
158,29848,104.232,9.501,42,126,198,521,460,90,192
159,29848,104.667,9.512,42,127,198,521,460,90,192
160,29848,102.960,9.182,42,124,198,521,460,90,192
161,29848,102.889,9.179,43,124,198,521,460,90,192
162,29848,102.990,9.221,43,125,198,521,460,90,192
163,29848,103.663,9.552,43,126,198,521,460,90,192
164,29848,104.788,9.928,44,127,198,521,460,90,192
165,29848,105.050,10.161,44,128,198,521,460,90,192
166,29848,104.968,10.117,43,128,198,521,460,90,192
167,29848,104.651,9.909,43,127,198,521,460,90,192
168,29848,104.853,10.114,43,127,198,521,460,90,192
169,29848,104.899,10.167,43,127,198,521,460,90,192
170,29848,104.922,10.171,43,127,198,521,460,90,192
171,29848,104.591,10.309,43,127,198,521,460,90,192
172,29848,103.193,10.063,43,124,198,521,460,90,192
173,29848,102.283,9.778,41,123,198,521,460,90,192
174,29848,102.026,9.692,43,123,198,521,460,90,192
175,29848,102.508,9.585,41,123,198,521,460,90,192
176,29848,102.372,9.352,43,121,198,521,460,90,192
177,29848,101.701,8.965,43,120,198,521,460,90,192
178,29848,100.778,8.660,43,119,198,521,460,90,192
179,29848,100.775,8.655,43,119,198,521,460,90,192
180,29848,99.937,8.215,43,117,198,521,460,90,192
181,29848,98.943,8.012,40,116,198,521,460,90,192
182,29848,98.387,7.964,40,116,198,521,460,90,192
183,29848,98.045,7.854,40,115,198,521,460,90,192
184,29848,97.189,7.554,40,113,198,521,460,90,192
185,29848,96.449,7.483,40,113,198,521,460,90,192
186,29848,97.426,7.548,40,113,198,521,460,90,192
187,29848,102.105,8.771,44,122,198,521,460,90,192
188,29848,103.684,9.380,43,124,198,521,460,90,192
189,29848,102.865,9.206,43,126,198,521,460,90,192
190,29848,102.020,9.057,43,124,198,521,460,90,192
191,29848,101.303,8.790,42,124,198,521,460,90,192
192,29848,100.955,8.630,43,124,198,521,460,90,192
193,29848,101.321,8.779,43,124,198,521,460,90,192
194,29848,101.559,9.344,43,123,198,521,460,90,192
195,29848,101.200,9.229,40,123,198,521,460,90,192
196,29848,100.544,9.101,40,122,198,521,460,90,192
197,29848,100.181,9.000,42,122,198,521,460,90,192
198,29848,100.218,9.153,43,123,198,521,460,90,192
199,29848,100.145,9.471,43,122,198,521,460,90,192
200,29848,99.514,9.235,41,121,198,521,460,90,192
201,29848,99.852,9.178,41,121,198,521,460,90,192
202,29848,100.020,9.389,41,121,198,521,460,90,192
203,29848,99.638,9.306,41,119,198,521,460,90,192
204,29848,99.807,9.291,40,119,198,521,460,90,192
205,29848,99.963,9.244,39,119,198,521,460,90,192
206,29848,99.795,8.949,40,119,198,521,460,90,192
207,29848,99.617,8.701,40,119,198,521,460,90,192
208,29848,97.913,8.152,39,116,198,521,460,90,192
209,29848,96.840,8.046,39,113,198,521,460,90,192
210,29848,96.146,7.690,40,112,198,521,460,90,192
211,29848,95.488,7.592,40,112,198,521,460,90,192
212,29848,95.226,7.416,40,112,198,521,460,90,192
213,29848,94.810,7.492,41,112,198,521,460,90,192
214,29848,93.779,7.182,41,111,198,521,460,90,192
215,29848,93.484,7.000,40,110,198,521,460,90,192
216,29848,95.327,7.058,41,110,198,521,460,90,192
217,29848,98.573,7.900,41,116,198,521,460,90,192
218,29848,99.347,8.413,43,120,198,521,460,90,192
219,29848,99.020,8.324,41,120,198,521,460,90,192
220,29848,98.800,8.334,41,120,198,521,460,90,192
221,29848,98.939,8.332,41,121,198,521,460,90,192
222,29848,99.329,8.509,41,119,198,521,460,90,192
223,29848,99.720,8.718,41,119,198,521,460,90,192
224,29848,100.154,8.975,41,121,198,521,460,90,192
225,29848,100.699,9.049,41,121,198,521,460,90,192
226,29848,101.450,9.289,43,121,198,521,460,90,192
227,29848,102.147,9.577,44,123,198,521,460,90,192
228,29848,102.010,9.561,44,123,198,521,460,90,192
229,29848,102.164,9.591,44,124,198,521,460,90,192
230,29848,102.256,9.613,44,124,198,521,460,90,192
231,29848,102.322,9.572,43,123,198,521,460,90,192
232,29848,102.146,9.546,43,123,198,521,460,90,192
233,29848,101.573,9.499,41,122,198,521,460,90,192
234,29848,100.737,9.333,41,120,198,521,460,90,192
235,29848,100.139,9.023,43,119,198,521,460,90,192
236,29848,99.366,8.689,41,118,198,521,460,90,192
237,29848,97.912,8.330,41,116,198,521,460,90,192
238,29848,96.833,8.087,41,113,198,521,460,90,192
239,29848,95.994,7.819,41,113,198,521,460,90,192
240,29848,95.257,7.476,41,111,198,521,460,90,192
241,29848,94.859,7.529,40,111,198,521,460,90,192
242,29848,94.757,7.527,39,111,198,521,460,90,192
243,29848,93.719,7.288,39,111,198,521,460,90,192
244,29848,93.799,7.180,39,111,198,521,460,90,192
245,29848,96.824,7.460,41,112,198,521,460,90,192
246,29848,100.154,8.670,41,121,198,521,460,90,192
247,29848,100.340,8.963,43,123,198,521,460,90,192
248,29848,100.021,8.835,43,123,198,521,460,90,192
249,29848,99.380,8.438,43,121,198,521,460,90,192
250,29848,99.383,8.444,43,121,198,521,460,90,192
251,29848,99.389,8.536,43,121,198,521,460,90,192
252,29848,100.150,8.952,43,122,198,521,460,90,192
253,29848,100.085,8.837,43,121,198,521,460,90,192
254,29848,99.542,8.792,43,121,198,521,460,90,192
255,29848,99.617,8.909,41,121,198,521,460,90,192
256,29848,99.592,8.970,41,121,198,521,460,90,192
257,29848,99.512,9.402,41,121,198,521,460,90,192
258,29848,99.122,9.264,41,122,198,521,460,90,192
259,29848,98.900,9.254,41,121,198,521,460,90,192
260,29848,98.226,9.051,41,117,198,521,460,90,192
261,29848,98.115,8.972,43,118,198,521,460,90,192
262,29848,97.747,8.776,43,116,198,521,460,90,192
263,29848,97.145,8.576,43,116,198,521,460,90,192
264,29848,96.124,8.191,41,116,198,521,460,90,192
265,29848,95.688,7.980,40,113,198,521,460,90,192
266,29848,94.950,7.747,40,111,198,521,460,90,192
267,29848,94.649,7.673,40,111,198,521,460,90,192
268,29848,93.841,7.789,40,111,198,521,460,90,192
269,29848,92.831,7.420,40,110,198,521,460,90,192
270,29848,92.616,7.386,39,109,198,521,460,90,192
271,29848,92.372,7.333,39,111,198,521,460,90,192
272,29848,92.529,7.537,39,111,198,521,460,90,192
273,29848,92.488,7.492,39,111,198,521,460,90,192
274,29848,94.406,7.037,39,110,198,521,460,90,192
275,29848,97.658,7.991,40,117,198,521,460,90,192
276,29848,98.986,9.150,40,122,198,521,460,90,192
277,29848,98.920,8.733,39,121,198,521,460,90,192
278,29848,98.689,8.547,40,122,198,521,460,90,192
279,29848,98.845,8.558,40,120,198,521,460,90,192
280,29848,99.052,8.696,40,121,198,521,460,90,192
281,29848,99.181,8.796,41,119,198,521,460,90,192
