 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,93.184,14.938,54,143,198,521,460,90,192
2,29848,91.709,14.352,53,139,198,521,460,90,192
3,29848,90.904,14.047,54,137,198,521,460,90,192
4,29848,89.973,13.771,53,138,198,521,460,90,192
5,29848,88.782,13.420,52,135,198,521,460,90,192
6,29848,87.757,12.812,52,133,198,521,460,90,192
7,29848,86.570,12.263,52,126,198,521,460,90,192
8,29848,84.042,11.361,50,118,198,521,460,90,192
9,29848,82.560,10.816,48,116,198,521,460,90,192
10,29848,81.141,9.968,48,111,198,521,460,90,192
11,29848,79.545,9.045,48,106,198,521,460,90,192
12,29848,76.925,8.100,47,103,198,521,460,90,192
13,29848,75.467,7.562,48,99,198,521,460,90,192
14,29848,73.820,7.172,48,94,198,521,460,90,192
15,29848,72.705,6.874,47,93,198,521,460,90,192
16,29848,72.330,7.058,48,93,198,521,460,90,192
17,29848,71.648,7.826,46,96,198,521,460,90,192
18,29848,71.384,8.745,45,98,198,521,460,90,192
19,29848,71.923,9.352,45,109,198,521,460,90,192
20,29848,73.814,9.840,45,112,198,521,460,90,192
21,29848,78.390,9.942,45,117,198,521,460,90,192
22,29848,91.085,13.767,54,143,198,521,460,90,192
23,29848,93.424,14.458,52,139,198,521,460,90,192
24,29848,95.044,15.373,51,155,198,521,460,90,192
25,29848,96.654,15.782,50,157,198,521,460,90,192
26,29848,95.842,15.293,51,153,198,521,460,90,192
27,29848,89.900,13.978,49,139,198,521,460,90,192
28,29848,88.113,13.379,47,135,198,521,460,90,192
29,29848,87.442,13.269,47,135,198,521,460,90,192
30,29848,86.072,12.714,46,131,198,521,460,90,192
31,29848,85.252,12.377,48,129,198,521,460,90,192
32,29848,83.911,11.900,50,128,198,521,460,90,192
33,29848,81.461,11.017,50,119,198,521,460,90,192
34,29848,80.185,10.470,48,117,198,521,460,90,192
35,29848,78.540,9.681,47,109,198,521,460,90,192
36,29848,76.602,8.927,45,106,198,521,460,90,192
37,29848,75.307,8.196,43,104,198,521,460,90,192
38,29848,73.799,7.669,42,99,198,521,460,90,192
39,29848,71.534,7.101,45,92,198,521,460,90,192
40,29848,70.371,6.920,43,89,198,521,460,90,192
41,29848,70.290,6.994,44,93,198,521,460,90,192
42,29848,70.343,7.332,44,93,198,521,460,90,192
43,29848,69.591,7.546,44,92,198,521,460,90,192
44,29848,70.158,7.780,44,93,198,521,460,90,192
45,29848,71.203,8.685,44,99,198,521,460,90,192
46,29848,73.588,9.013,46,104,198,521,460,90,192
47,29848,79.206,9.688,50,117,198,521,460,90,192
48,29848,87.218,12.493,53,130,198,521,460,90,192
49,29848,91.185,14.238,54,149,198,521,460,90,192
50,29848,93.637,14.696,52,145,198,521,460,90,192
51,29848,95.051,15.503,54,153,198,521,460,90,192
52,29848,95.612,15.739,53,155,198,521,460,90,192
53,29848,94.671,15.640,54,155,198,521,460,90,192
54,29848,94.683,15.640,54,155,198,521,460,90,192
55,29848,88.808,13.631,51,142,198,521,460,90,192
56,29848,86.368,13.004,51,137,198,521,460,90,192
57,29848,84.973,12.583,50,131,198,521,460,90,192
58,29848,84.344,12.268,50,126,198,521,460,90,192
59,29848,82.748,11.791,48,122,198,521,460,90,192
60,29848,80.572,11.019,47,117,198,521,460,90,192
61,29848,78.743,10.355,46,111,198,521,460,90,192
62,29848,77.170,9.389,46,108,198,521,460,90,192
63,29848,75.142,8.391,46,103,198,521,460,90,192
64,29848,73.046,7.716,45,99,198,521,460,90,192
65,29848,71.049,7.327,44,93,198,521,460,90,192
66,29848,69.826,7.106,43,88,198,521,460,90,192
67,29848,68.324,7.008,42,88,198,521,460,90,192
68,29848,67.341,6.870,42,87,198,521,460,90,192
69,29848,67.572,7.333,42,87,198,521,460,90,192
70,29848,68.499,7.892,40,92,198,521,460,90,192
71,29848,68.920,8.238,42,93,198,521,460,90,192
72,29848,69.161,8.450,42,97,198,521,460,90,192
73,29848,72.875,8.951,44,102,198,521,460,90,192
74,29848,80.073,10.716,48,115,198,521,460,90,192
75,29848,86.076,12.832,53,127,198,521,460,90,192
76,29848,89.351,14.015,53,145,198,521,460,90,192
77,29848,91.357,14.248,53,140,198,521,460,90,192
78,29848,92.356,14.982,53,152,198,521,460,90,192
79,29848,93.034,15.407,54,154,198,521,460,90,192
80,29848,92.289,15.245,53,152,198,521,460,90,192
